lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status
0.1,0.007795011204102864,0.9873576911282207,0.9873576911282207,0.9934266518227252,0.9856828799413127,0.00827105373760378,0.018156346668438364,✓
0.17368421052631577,0.00902737069336168,0.9873576911282207,0.9569774544781215,0.9810749103982249,0.9597445169724009,0.02411269695258695,0.052429946610412365,✓
0.24736842105263157,0.02120004086354721,1.003282815178676,0.942477796076938,0.9641747290798596,0.9261804406705062,0.04644551168947553,0.09962901947601643,✓
0.32105263157894737,0.0019515306177615432,0.9873576911282207,0.9284109632996701,0.9447770855513495,0.8902162448382939,0.07306341793898367,0.15415321248946667,✓
0.39473684210526316,0.03818993036274332,0.9873576911282207,0.876106120296872,0.9248649008559892,0.8559752973407107,0.10154874927472006,0.2103225161794039,✓
0.46842105263157896,0.060367694171785224,0.9873576911282207,0.8405883046091609,0.9060721018823283,0.8260831919032986,0.12958115850071464,0.26316479048556307,~
0.5421052631578946,0.08089905072428405,0.9719302272043421,0.7974812120651014,0.8895695114657197,0.8018685179257915,0.1551740576634743,0.30885905489019405,~
0.6157894736842104,0.1327153044224222,0.9719302272043421,0.7405182683461655,0.8760725417930117,0.7837520754462891,0.17682248372000164,0.3448921083088896,✗
0.6894736842105262,0.09107411199530047,0.9719302272043421,0.777544181763474,0.865909504992075,0.7715895432291037,0.19356886348237998,0.37003232284453663,~
0.763157894736842,0.47922280117691574,0.9873576911282207,1.3522507508929977,0.8591050965160183,0.7648977074141672,0.20500242644258773,0.3842054471908175,✗
0.8368421052631578,0.5171953063308077,1.003282815178676,1.413716694115407,0.8554567093991928,0.7629780774647659,0.21120778090326053,0.38831705906088065,✗
0.9105263157894736,0.28133875687387466,1.0367255756846316,1.2196771478642727,0.854598890691823,0.7649786701044093,0.21267449398171806,0.3840324885521209,✗
0.9842105263157893,0.706238049028487,1.0912900796680334,1.752212240593744,0.8560604742082171,0.769937155488967,0.21017721605023687,0.3735091281004065,✗
1.0578947368421052,0.62376028664869,1.1309733552923256,1.727875959474386,0.859320803601957,0.7768410369472725,0.20463719109377926,0.35908080359926037,✗
1.131578947368421,0.6568328557821953,1.1519173063162573,1.8030010011906636,0.8638679488427704,0.7847242854620147,0.19698041138635666,0.3429161657894267,✗
1.2052631578947368,1.2849317403448994,1.0724747334668605,2.356194490192345,0.8692553040885231,0.7927938313261634,0.188012508086695,0.32670248002439023,✗
1.2789473684210526,1.120952685215585,1.0912900796680334,2.2215548050384966,0.8751466982012709,0.8005505943177477,0.17833196145192837,0.31142536008643656,✗
1.3526315789473684,1.0833761988780855,1.1519173063162573,2.303834612632514,0.8813378020399854,0.8078552061783245,0.16829840624865064,0.29730698080576234,✗
1.4263157894736842,0.1557719755441298,1.8568219265993404,1.9937030301627536,0.8877453647925546,0.8149022828150486,0.15806142118477381,0.28392624657023047,✗
1.5,0.6977114554654162,1.4354661817171828,2.3210274082491757,0.8943646071782969,0.8221034952384596,0.14764028000138088,0.2704898254780251,✗
