lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,spectral_gap,status
0.1,0.050000000000000044,0.9806623599089214,0.9806623599089214,0.9999860299864424,0.9499867284871202,0.980648660042458,~
0.11282051282051282,0.050000000000000044,0.9797898183010363,0.9797898183010363,0.9999826514335638,0.9499835188618856,0.97977282035228,~
0.12564102564102564,0.050000000000000044,0.9788120785030543,0.9788120785030543,0.9999793629423795,0.9499803947952605,0.9787918787017906,~
0.13846153846153847,0.050000000000000044,0.977729299700761,0.977729299700761,0.9999761638533103,0.9499773556606448,0.9777059944017505,~
0.1512820512820513,0.050000000000000044,0.9765416632107092,0.9765416632107092,0.9999730535035464,0.949974400828369,0.9765153488342446,~
0.1641025641025641,0.050000000000000044,0.9752493725007776,0.9752493725007776,0.9999700312270905,0.949971529665736,0.975220145473803,~
0.17692307692307693,0.050000000000000044,0.9738526530148478,0.9738526530148478,0.9999670963547866,0.9499687415370472,0.9738206097126629,~
0.18974358974358974,0.050000000000000044,0.9723517518658539,0.9723517518658539,0.9999642482143357,0.9499660358036189,0.9723169885544309,~
0.20256410256410257,0.050000000000000044,0.9707469374534985,0.9707469374534985,0.9999614861303004,0.9499634118237854,0.9707095502324381,~
0.2153846153846154,0.04999999999999993,0.9690384990510593,0.9690384990510593,0.9999588094240954,0.9499608689528907,0.9689985837972097,✓
0.2282051282051282,0.050000000000000044,0.9672267463940468,0.9672267463940468,0.9999562174139669,0.9499584065432685,0.9671843987058093,~
0.24102564102564103,0.050000000000000044,0.9653120092919129,0.9653120092919129,0.9999537094149605,0.9499560239442124,0.9652673244342571,~
0.25384615384615383,0.050000000000000044,0.963294637275504,0.963294637275504,0.9999512847388796,0.9499537205019356,0.9632477101257133,~
0.26666666666666666,0.050000000000000044,0.9611749992864759,0.9611749992864759,0.9999489426942322,0.9499514955595205,0.9611259242806409,~
0.2794871794871795,0.050000000000000044,0.9589534834101126,0.9589534834101126,0.9999466825861674,0.949949348456859,0.9589023544903914,~
0.29230769230769227,0.050000000000000044,0.9566304966503298,0.9566304966503298,0.999944503716405,0.9499472785305847,0.956577407212992,~
0.30512820512820515,0.050000000000000044,0.9542064647440106,0.9542064647440106,0.9999424053831548,0.949945285113997,0.9541515075882825,~
0.31794871794871793,0.050000000000000044,0.9516818320112908,0.9516818320112908,0.9999403868810262,0.9499433675369748,0.9516250992890138,~
0.33076923076923076,0.04999999999999993,0.9490570612379587,0.9490570612379587,0.9999384475009323,0.9499415251258857,0.9489986444040817,✓
0.3435897435897436,0.050000000000000044,0.9463326335868241,0.9463326335868241,0.999936586529986,0.9499397572034867,0.9462726233507408,~
0.35641025641025637,0.050000000000000044,0.9435090485351068,0.9435090485351068,0.9999348032513888,0.9499380630888193,0.943447534812857,~
0.36923076923076925,0.050000000000000044,0.940586823835117,0.940586823835117,0.9999330969443124,0.9499364420970967,0.9405238957024631,~
0.382051282051282,0.050000000000000044,0.9375664954966237,0.9375664954966237,0.9999314668837763,0.9499348935395875,0.9375022411430205,~
0.3948717948717949,0.04999999999999993,0.934448617789166,0.934448617789166,0.9999299123405183,0.9499334167234924,0.9343831244726393,✓
0.4076923076923077,0.050000000000000044,0.9312337632633699,0.9312337632633699,0.9999284325808603,0.9499320109518172,0.9311671172663174,~
0.42051282051282046,0.050000000000000044,0.9279225227902739,0.9279225227902739,0.99992702686657,0.9499306755232414,0.9278548093762056,~
0.43333333333333335,0.050000000000000044,0.9245155056184936,0.9245155056184936,0.9999256944547178,0.9499294097319818,0.9244468089897269,~
0.4461538461538461,0.050000000000000044,0.9210133394486586,0.9210133394486586,0.9999244345975322,0.9499282128676556,0.9209437427049849,~
0.458974358974359,0.050000000000000044,0.917416670525104,0.917416670525104,0.9999232465422474,0.9499270842151349,0.9173462556234413,~
0.4717948717948718,0.050000000000000044,0.9137261637449382,0.9137261637449382,0.9999221295309533,0.9499260230544055,0.9136550114599871,~
0.48461538461538456,0.050000000000000044,0.909942502784183,0.909942502784183,0.9999210828004407,0.9499250286604186,0.9098706926701032,~
0.49743589743589745,0.050000000000000044,0.9060663902417619,0.9060663902417619,0.9999201055820444,0.949924100302942,0.9059940005948843,~
0.5102564102564102,0.050000000000000044,0.9020985478004914,0.9020985478004914,0.9999191971014861,0.9499232372464118,0.9020256556230839,~
0.5230769230769231,0.050000000000000044,0.8980397164061532,0.8980397164061532,0.9999183565787166,0.9499224387497808,0.8979663973712575,~
0.5358974358974359,0.050000000000000044,0.8938906564640912,0.8938906564640912,0.9999175832277555,0.9499217040663677,0.8938169848814459,~
0.5487179487179487,0.050000000000000044,0.8896521480535917,0.8896521480535917,0.9999168762565338,0.9499210324437071,0.8895781968366627,~
0.5615384615384615,0.050000000000000044,0.8853249911599922,0.8853249911599922,0.9999162348667344,0.9499204231233976,0.8852508317941243,~
0.5743589743589743,0.050000000000000044,0.8809100059244194,0.8809100059244194,0.9999156582536353,0.9499198753409535,0.8808357084361296,~
0.5871794871794872,0.050000000000000044,0.8764080329110023,0.8764080329110023,0.9999151456059541,0.9499193883256564,0.8763336658384326,~
0.6,0.050000000000000044,0.8718199333912373,0.8718199333912373,0.9999146961056924,0.9499189613004078,0.871745563755784,~
0.6,0.050000000000000044,0.8718199333912373,0.8718199333912373,0.9999146961056924,0.9499189613004078,0.871745563755784,~
0.6040816326530613,0.050000000000000044,0.8703413000921557,0.8703413000921557,0.9999145661181821,0.9499188378122729,0.8702669434563823,~
0.6081632653061224,0.050000000000000044,0.8688540553882745,0.8688540553882745,0.9999144424208343,0.9499187202997925,0.8687797183386472,~
0.6122448979591837,0.050000000000000044,0.8673582284213448,0.8673582284213448,0.9999143249868108,0.9499186087374701,0.867283917493685,~
0.6163265306122448,0.050000000000000044,0.8658538485542524,0.8658538485542524,0.9999142137891996,0.9499185030997396,0.8657795702334781,~
0.6204081632653061,0.050000000000000044,0.8643409453723175,0.8643409453723175,0.9999141088010169,0.949918403360966,0.8642667060921894,~
0.6244897959183673,0.050000000000000044,0.8628195486842085,0.8628195486842085,0.999914009995203,0.9499183094954428,0.8627453548270783,~
0.6285714285714286,0.050000000000000044,0.8612896885233068,0.8612896885233068,0.999913917344625,0.9499182214773937,0.8612155464198716,~
0.6326530612244898,0.050000000000000044,0.859751395148661,0.859751395148661,0.9999138308220743,0.9499181392809706,0.8596773110777205,~
