topology,lambda,metric,dense_value,iterative_value,abs_diff
path,1.0,max_abs_mode_dom_amp,0.4574085665043162,0.4574085663933617,1.1095452334686229e-10
path,1.0,max_abs_mode1_amp,6.532853270192844e-15,9.759259442330506e-11,9.758606157003486e-11
path,1.0,tail_mean_global,0.4419723479575803,0.4419723478735223,8.405798279653709e-11
path,1.0,final_global_lambda,0.3903849924115523,0.3903849923583006,5.325168084269194e-11
path,1.0,tail_mean_probe,0.2954018219602544,0.2954018219152799,4.4974468593750316e-11
path,1.0,final_probe_gap,0.2597327369381652,0.2597327369737678,3.560263195367952e-11
path,1.0,max_abs_probe_gap,0.4164920866967918,0.4164920866622328,3.455896679938064e-11
path,1.0,tail_std_mode1,2.7937873401945904e-15,3.150503861013726e-11,3.150224482279707e-11
path,1.0,tail_mean_mode_dom,-0.3265421020723255,-0.3265421020417848,3.054068109520358e-11
path,1.0,final_mode_dom_amp,-0.2857058603100807,-0.2857058603394536,2.937289300675161e-11
path,1.0,tail_std_global,0.0550391397570509,0.0550391397397545,1.7296400423028047e-11
path,1.0,final_mode1_amp,3.3691146776988888e-15,1.364070088118656e-11,1.3637331766508861e-11
path,1.0,tail_mean_mode1,-2.776529420589604e-16,-1.069225109343618e-11,1.069197344049412e-11
path,1.0,tail_std_probe,0.0309305889342048,0.0309305889239959,1.0208899697827789e-11
path,1.0,tail_std_mode_dom,0.0448201299653005,0.0448201299562564,9.04409880320145e-12
path,1.0,tail_mean_site_var,0.0235428840404812,0.0235428840352339,5.247299122990157e-12
star,1.6,tail_mean_probe,-1.376021612298127,-1.3760216122937785,4.348521542851813e-12
path,1.0,threshold_mode_dom,0.0194104352171343,0.0194104352130869,4.047401302997855e-12
star,1.6,tail_mean_mode_dom,-1.230751145442989,-1.230751145439002,3.986810881428937e-12
path,1.0,threshold_global,0.0283144962260282,0.0283144962225107,3.5175022616851237e-12
star,1.6,max_abs_mode1_amp,2.581268532253489e-15,3.047118113386205e-12,3.0445368448539516e-12
path,1.0,threshold_probe,0.0182650890839235,0.0182650890809515,2.971997647982505e-12
star,1.6,max_abs_probe_gap,1.9647029641758076,1.9647029641730336,2.774003249328416e-12
star,1.6,tail_mean_global,0.7338781932256678,0.7338781932232904,2.3774315849323102e-12
star,1.6,max_abs_mode_dom_amp,1.7572837533969758,1.757283753394757,2.218891737015838e-12
path,1.0,final_site_var,0.0176576616012728,0.017657661603414,2.1412004114207406e-12
star,1.6,tail_mean_site_var,0.3108889460564833,0.3108889460544031,2.080224881240156e-12
path,1.0,tail_std_site_var,0.0057165240799666,0.0057165240779477,2.0188998042791617e-12
star,1.6,final_probe_gap,-1.2050164405101922,-1.2050164405082653,1.9269030815394217e-12
star,1.6,tail_std_probe,0.2227564484846245,0.2227564484829743,1.650207748227217e-12
