topology,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,final_global_lambda,final_probe_gap,max_abs_probe_gap,dim_nominal,dim_hotspot
cycle,0.35,,0.0,2.5899280575539567,0.0,0.03887510687677605,0.009054532347483015,0.00179771042960423,-1.2390881971262908e-18,1.8282375794069258e-16,8e-17,0.04281124007150452,-2.2898349882893854e-16,3.608224830031759e-16,4096,4096
cycle,0.45,,0.0,1.7266187050359711,0.0,0.06445562044502773,0.012497911140457393,0.002985133689053568,1.1399611413561875e-17,3.563541826756174e-16,8e-17,0.07591082353234072,-5.412337245047638e-16,7.771561172376096e-16,4096,4096
cycle,0.5,,,1.7266187050359711,0.0,0.08007292588646778,0.016556116813240745,0.003723539373274951,5.92284158226367e-17,3.453474626704309e-16,8e-17,0.09173043501736439,6.522560269672795e-16,7.355227538141662e-16,4096,4096
cycle,0.55,,11.223021582733812,1.7266187050359711,0.4316546762589928,0.09740966145844077,0.020225366220041438,0.004544686892749337,1.320868018136626e-16,4.0716875569191374e-16,8e-17,0.08447003927371614,1.6653345369377348e-16,1.0547118733938987e-15,4096,4096
cycle,0.65,,4.316546762589928,6.474820143884892,1.2949640287769784,0.13860402124421442,0.025680229075966975,0.0065415801403720195,3.618137535608769e-17,1.3338667899353853e-16,8e-17,0.10815880814440149,1.3877787807814457e-17,3.3306690738754696e-16,4096,4096
path,0.8,,,1.7266187050359711,1.7266187050359711,0.11455894038239749,0.01720692692498042,0.00527764324851723,0.09822903693425067,0.017540355800266014,0.004410513223947906,0.10745265340241858,0.08586044528480592,0.14119904274219053,1024,1024
path,0.9,,,2.158273381294964,10.79136690647482,0.1475792909209665,0.020623288450402334,0.00686548905777874,0.12593853689047435,0.021172998819164037,0.005713302223806373,0.16174736476240284,0.13853417027784426,0.18653221604674658,1024,1024
path,1.0,,,2.158273381294964,2.158273381294964,0.17559385133551794,0.02835441585178204,0.007922879098890775,0.14548256598124598,0.027213914810832764,0.006261148161586281,0.1643520696806614,0.1399439090370289,0.21915709958233995,1024,1024
path,1.1,,,2.5899280575539567,6.906474820143885,0.2149711444671616,0.036138079748478304,0.009760055249351416,0.17612165055762816,0.03247953675339159,0.007599611602896253,0.18165609660785412,0.1427760445204635,0.2602932027336877,1024,1024
path,1.2,,,6.906474820143885,6.906474820143885,0.2522514520928789,0.038824972747976916,0.011302491219009893,0.20177206188677316,0.03460708785304635,0.008448468703669644,0.3022929656334376,0.2318492348952862,0.28565981316064176,1024,1024
path,1.3,,,6.474820143884892,6.474820143884892,0.2839516592450343,0.04465516934089997,0.012275935178706733,0.22353348447739815,0.03970585042969625,0.00890441319043552,0.2267994152206133,0.20521464102332423,0.31315780399731724,1024,1024
star,1.1,,,11.654676258992804,11.654676258992804,0.2595943930108183,0.049327746903652284,0.01127386002035341,-0.3461258573477578,0.06577032920486969,0.015031813360471213,0.2722150457380623,-0.36295339431741636,0.48649459076812385,1024,1024
star,1.2,,,6.043165467625899,6.043165467625899,0.28751978574925374,0.05809696204516143,0.01178092115759332,-0.3833597143323383,0.0774626160602152,0.01570789487679109,0.1702515012374093,-0.22700200164987938,0.5418099941715447,1024,1024
star,1.3,,,2.158273381294964,2.158273381294964,0.3171234167147527,0.05584623872395984,0.01231427705917703,-0.4228312222863371,0.07446165163194651,0.016419036078902726,0.38129505275002024,-0.508393403666694,0.593194810501095,1024,1024
star,1.4,,,2.158273381294964,2.158273381294964,0.34797924378048045,0.05395484688723618,0.012859744109235348,-0.4639723250406407,0.07193979584964842,0.01714632547898047,0.347968237135913,-0.4639576495145512,0.6197662784183038,1024,1024
star,1.5,,,5.611510791366906,5.611510791366906,0.38082708955962324,0.05877944131801935,0.01350163236671944,-0.5077694527461644,0.07837258842402571,0.018002176488959253,0.40383121136598465,-0.5384416151546461,0.670116533569372,1024,1024
