metric,max_abs_diff
max_abs_mode1_amp,5.901391746275485e-11
final_mode1_amp,4.422573797469789e-11
max_abs_probe_gap,1.829608686776396e-11
tail_std_mode1,1.7388604011379116e-11
tail_mean_mode1,1.6428110980489427e-11
tail_mean_global,9.35873600838022e-12
max_abs_mode_dom_amp,8.152978292486068e-12
final_global_lambda,7.996270312560227e-12
final_probe_gap,7.789879852282411e-12
tail_mean_probe,5.5243587482323164e-12
final_mode_dom_amp,4.961087096688743e-12
tail_mean_mode_dom,4.1419090379690715e-12
tail_std_global,3.221298228162084e-12
tail_std_mode_dom,2.548503075239239e-12
threshold_probe,1.6779008737977108e-12
tail_std_probe,1.3001058563055778e-12
final_site_var,7.328998519184893e-13
tail_mean_site_var,7.281016067839374e-13
threshold_mode_dom,5.041002337780043e-13
tail_std_site_var,4.0040019910758673e-13
threshold_global,2.3999899290139126e-13
threshold_site_var,2.949984007072359e-14
mode_dom_index,0.0
mode_dom_eigval,0.0
dim_nominal,0.0
mode1_eigval,0.0
tau_dephase_global,0.0
mode1_index,0.0
tau_dephase_probe,0.0
tau_dephase_mode_dom,0.0
tau_dephase_site_var,0.0
dim_hotspot,0.0
tau_eq_global,
tau_eq_probe,
tau_eq_site_var,
tau_eq_mode1,
tau_dephase_mode1,
tau_eq_mode_dom,
threshold_mode1,
