chi,topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
3,path,iterative,sparse,1.0,,,10.084033613445378,15.126050420168069,,26.72268907563025,,5.546218487394958,,26.72268907563025,0.4308511170512254,0.0602590873536821,0.0274333292115847,0.2845920909400148,0.0335716448179085,0.0174075240681741,0.021421943314835,0.0048025109692926,0.0016052082932684,1.9523077580643802e-10,8.52430036855351e-10,1.7999784772537322e-10,-0.3105988874597878,0.0397857085475667,0.0181447394452169,0.4496076654802821,0.2812914394626628,0.4015247248326884,0.0190158243803241,-1.2859986592441622e-09,-0.2882178315650508,2.445203872373603e-09,0.4359292937279969,1,2,0.381966011250105,1.3819660112501055,2592,2592
3,path,iterative,sparse,1.1,,,10.084033613445378,10.588235294117649,,13.109243697478991,,,,14.117647058823527,0.4630608324470768,0.0523436064914539,0.0285166361778986,0.3063411053799703,0.0307702700964501,0.0180362456853959,0.0250009402784744,0.0061351161029383,0.002006022115031,-5.00632643171284e-10,1.0766914698964774e-09,3.0972426020037736e-10,-0.3349019581326009,0.0487818917830232,0.0187269797001378,0.5015111818887051,0.289941917955708,0.4419956141446282,0.0183488315355871,1.745100802992669e-09,-0.266978921388615,3.3709206093334333e-09,0.4784009325135946,1,2,0.381966011250105,1.3819660112501055,2592,2592
3,star,iterative,sparse,1.5,,,9.07563025210084,9.07563025210084,,3.5294117647058822,,7.0588235294117645,,9.07563025210084,0.6586019407049896,0.0942397815391586,0.0288337685086941,-1.2348786387772288,0.1766995904133745,0.0540633159050443,0.2489836796577714,0.0661353397768093,0.0165985153231893,5.153036620094328e-11,1.6154737804952198e-10,5.629986056058615e-11,-1.1045090321472315,0.1580449182797164,0.0483556998246995,0.443422148141792,-0.8314165278955671,1.6890550634333263,0.1106005508227582,-1.4977272200233926e-10,-0.7436415494805217,6.522178908063835e-10,1.5107367758773176,1,4,1.0,5.0,2592,2592
3,star,iterative,sparse,1.6,,,5.546218487394958,5.546218487394958,,2.0168067226890756,,0.5042016806722689,,5.546218487394958,0.6700388060203261,0.0778210029927594,0.0277040934711735,-1.2563227612793275,0.1459143805882539,0.0519451752674062,0.2559420619199681,0.0588008244152142,0.0157590923427569,1.0142455741009767e-11,8.658221880001622e-11,1.759186458542376e-11,-1.1236892383681834,0.1305097895767684,0.046461177192414,0.5956675301143771,-1.1168766188954822,1.630866841972452,0.1995861411183162,7.964506831825702e-11,-0.9989648169938624,2.097558515767872e-10,1.4586916484038497,1,4,1.0,5.0,2592,2592
4,path,iterative,sparse,1.0,,48.90756302521008,10.084033613445378,15.630252100840336,,27.73109243697479,,8.571428571428571,,27.73109243697479,0.4431914291147656,0.0562578252052187,0.0284120227319494,0.2960635634487101,0.0352596966369365,0.0183180284351557,0.0237080569133606,0.0060433388128125,0.0017820620449549,2.4814538157894423e-10,6.125281800518263e-10,1.506778462733916e-10,-0.3270925609654098,0.050134725394248,0.0194544719618596,0.3918927527717648,0.2707028922658642,0.4167348379654592,0.0202445478608539,4.835533955261191e-10,-0.3096162810284785,2.131618459996339e-09,0.4552267253252601,1,2,0.381966011250105,1.3819660112501055,8192,8192
4,path,iterative,sparse,1.1,,,11.596638655462185,12.605042016806722,,15.126050420168069,,13.109243697478991,,15.126050420168069,0.4897794026638563,0.0542479259531899,0.0306394411435714,0.32525334622185,0.035878252772592,0.0195369093141849,0.0283530478720579,0.0070989319183143,0.0021745857139459,-2.4978555896060046e-10,8.400988616740987e-10,2.2570337009408983e-10,-0.3570549258996547,0.0547221557039451,0.0204826418824077,0.5153607306078885,0.3433507115000673,0.4656466371349104,0.0309173504951391,1.9415715440175668e-09,-0.3782423278310383,2.571506567215522e-09,0.5036896098809307,1,2,0.381966011250105,1.3819660112501055,8192,8192
4,star,iterative,sparse,1.5,,,6.554621848739496,6.554621848739496,,3.025210084033614,,,,6.554621848739496,0.705883452897966,0.0782544492644695,0.0324872716754906,-1.323531474180739,0.1467270923946468,0.0609136343847529,0.2837223044464727,0.0627377615754649,0.019383180012087,3.4033499398307874e-12,6.961234556978445e-11,,-1.183802538654092,0.1312367010728717,0.0544828109024254,0.6181265695771545,-1.158987317866556,1.8131672126024971,0.2149202565096868,1.0462619659534765e-10,-1.0366297712049537,2.363150786166557e-10,1.6217460568744433,1,4,1.0,5.0,8192,8192
4,star,iterative,sparse,1.6,,,7.0588235294117645,7.0588235294117645,,2.0168067226890756,,,,7.0588235294117645,0.7339244209305188,0.0783640096471097,0.0326482426780821,-1.3761082892419936,0.1469325180747997,0.0612154550250163,0.3064421101759704,0.0649733602900454,0.0250359409775257,3.151341456305209e-12,6.792917842883806e-11,,-1.2308286716608572,0.1314204394202899,0.0547527674805761,0.695174394002211,-1.3034519887811418,1.9675355340320295,0.2718379339179421,-3.117212044045914e-11,-1.1658429009046247,1.7066187352199336e-10,1.759817280849125,1,4,1.0,5.0,8192,8192
5,path,iterative,sparse,1.0,,,11.515151515151516,18.181818181818183,,26.666666666666668,,16.96969696969697,,36.36363636363637,0.4453737643086741,0.0522330103117268,0.0285865634650299,0.2986548244329045,0.0318590840781349,0.0185252891941575,0.0240856318201664,0.0054806191760853,0.0021010911552172,-1.4882070014726671e-09,4.079467340470308e-09,9.85081262319067e-10,-0.3312967145082396,0.0431956888297064,0.0197907496217949,0.394408830902893,0.2716390923702525,0.4397839283814564,0.0202980806461346,-1.167935669685893e-09,-0.3097694041630026,1.0825308777515671e-08,0.4817612776695124,1,2,0.381966011250105,1.3819660112501055,20000,20000
5,path,iterative,sparse,1.1,,,12.727272727272728,15.151515151515152,,16.96969696969697,,,,17.575757575757578,0.4935987026907018,0.0655897044860993,0.0309448893880141,0.3303346060199231,0.054339891914354,0.0199433280222026,0.0301838777381493,0.0109034330429187,0.0023114783922563,1.2751563380885595e-10,2.516946929773638e-09,,-0.3656626740854209,0.0802317131092334,0.0211711497126755,0.4882734893815968,0.3352558136821558,0.4780699124141053,0.0307819772960268,2.891805984179975e-09,-0.3811335606175734,8.417931252089665e-09,0.5208523130561737,1,2,0.381966011250105,1.3819660112501055,20000,20000
