topology,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
path,0.85,,,5.083798882681564,5.083798882681564,,2.7374301675977653,,,,5.083798882681564,0.36528856347596395,0.06366055757080107,0.024825373388247602,0.26389983050475224,0.05027815127773114,0.017220140879287568,0.018042753259085838,0.00698803467332054,0.0020186278247180146,1.0558683557112165e-15,3.32571721454833e-15,,-0.263899830504752,0.050278151277731095,0.01722014087928755,0.3718056241736269,0.29236617069006887,0.4160557706272611,0.02136949444099363,-2.886579864025407e-15,-0.29236617069006865,5.842548667089886e-15,0.41605577062726073,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,0.9,,,5.083798882681564,5.083798882681564,,5.083798882681564,,,,5.083798882681564,0.38344545735576,0.07115985654426668,0.02573478237256225,0.27636431387582516,0.058732330205247985,0.017747364382634447,0.019956680148848473,0.008332535618089413,0.0020656855777699463,3.5315115029830067e-15,3.4503393403152293e-15,,-0.276364313875825,0.05873233020524793,0.017747364382634436,0.5453735381753545,0.4279147105252298,0.4279147105252298,0.0457777498709728,8.354428260304303e-15,-0.42791471052522945,1.1851630787873546e-14,0.42791471052522945,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,0.95,,,5.083798882681564,5.083798882681564,,4.692737430167598,,,,5.083798882681564,0.39945162957656094,0.0633761013671281,0.02643961927390636,0.28613436092190925,0.04731232501122154,0.018033584732365,0.021027832149539225,0.006676948294101156,0.0016085014360369416,1.4818393425899658e-15,3.8349471350995e-15,,-0.2861343609219091,0.047312325011221505,0.01803358473236499,0.39230650812248846,0.27068362775812216,0.39875676911118574,0.01831740658407442,1.6930901125533637e-15,-0.27068362775812205,1.0325074129013956e-14,0.3987567691111854,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,1.0,,,4.692737430167598,4.692737430167598,,3.9106145251396645,,,,4.692737430167598,0.41202090487659676,0.07066181112254923,0.026837043382177076,0.2970699965391282,0.05615023732363428,0.01838814260621687,0.02285085799881451,0.00850163403415437,0.0021185691568933037,-5.408482303989912e-16,2.1849143124606842e-15,,-0.29706999653912797,0.05615023732363423,0.018388142606216858,0.36014982627349895,0.28673918748682814,0.44422054189323934,0.020554840410151595,-2.1649348980190553e-15,-0.2867391874868279,4.371503159461554e-15,0.444220541893239,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,1.03,,,6.64804469273743,4.692737430167598,,4.692737430167598,,,,4.692737430167598,0.4223995784457346,0.08121415966072003,0.0272869357104001,0.3076174344346136,0.058884556877139255,0.018908065348953614,0.024523969251687705,0.009140705304192523,0.0022009586078385298,-2.2466596484428515e-15,2.1931266187364997e-15,,-0.3076174344346133,0.058884556877139206,0.018908065348953597,0.30204863403464854,0.18167179724958635,0.45622780208869046,0.008251160478973701,-9.43689570931383e-16,-0.1816717972495862,7.13318293321663e-15,0.45622780208869007,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,1.08,,,4.301675977653631,4.301675977653631,,4.301675977653631,,,,4.301675977653631,0.43925549705421746,0.08098171039600141,0.027975661455086787,0.3197652396036659,0.06277578180659776,0.019321108332007703,0.026547651810054855,0.01040626458856713,0.0023636048383505587,2.5990012611190296e-15,3.2043011184016217e-15,,-0.31976523960366565,0.06277578180659772,0.019321108332007692,0.5963802632365817,0.452936660843062,0.4736780015556426,0.051287904683915746,4.08006961549745e-15,-0.45293666084306167,9.575673587391975e-15,0.4736780015556422,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,1.12,,,6.256983240223463,9.385474860335195,,8.212290502793296,,,,9.385474860335195,0.4628456039935951,0.06960577818157841,0.029312068008625358,0.34291745805014157,0.061762455415594525,0.020709638977631555,0.030351745983633476,0.010539942106125992,0.0027780411538395533,-1.9721878451327434e-15,3.330734571535546e-15,,-0.34291745805014134,0.06176245541559447,0.02070963897763154,0.3781001279159617,0.3025527449820994,0.510204901609649,0.02288454087405082,-7.771561172376096e-16,-0.30255274498209916,9.43689570931383e-15,0.5102049016096486,1,2,0.5857864376269051,2.0000000000000004,1024,1024
path,1.2,,,5.4748603351955305,7.821229050279329,,7.821229050279329,,,,7.821229050279329,0.49281658028706576,0.07938954621993058,0.03054770147454482,0.37131546082541245,0.07023845416727578,0.022011940618760797,0.035702152972949236,0.012852883651232088,0.0026712134654975246,-5.466306419855805e-16,3.891656687561999e-15,,-0.3713154608254122,0.07023845416727573,0.022011940618760783,0.3630720438538901,0.2986003190104358,0.5083802540664016,0.022290537628283504,1.609823385706477e-15,-0.2986003190104355,8.631984016460592e-15,0.5083802540664013,1,2,0.5857864376269051,2.0000000000000004,1024,1024
star,1.05,,,3.519553072625698,3.519553072625698,,2.346368715083799,,,,3.519553072625698,0.4535498809856579,0.08049448576045495,0.027608478759012876,-0.6047331746475437,0.1073259810139399,0.036811305012017154,0.07072895225998149,0.024122225358091547,0.007856227539487913,1.5439038936193583e-16,3.8453819624875213e-16,,-0.5237142917559846,0.09294702604415835,0.0318795252868643,0.41607948638909875,-0.5547726485187976,0.9491941747358277,0.0577073796646054,9.159339953157541e-16,-0.48044720694205484,1.7208456881689926e-15,0.822026268445432,1,3,1.0,4.0,1024,1024
star,1.1,,,3.519553072625698,3.519553072625698,,1.9553072625698322,,,,3.519553072625698,0.47067858067710283,0.10222514321584782,0.028160595033656192,-0.627571440902804,0.13630019095446366,0.03754746004487495,0.07732943540457088,0.031816919587477885,0.007843261104999586,-2.578955567618853e-16,8.50885745441256e-16,,-0.5434928105114328,0.11803942790723558,0.0325170542464429,0.5018907633416957,-0.6691876844555944,0.9671130901594104,0.08396477944256998,-1.6653345369377348e-16,-0.5795335346382295,3.3584246494910985e-15,0.8375445044105196,1,3,1.0,4.0,1024,1024
