hotspot_multiplier,chi,topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
2.0,4,cycle,iterative,sparse,0.61,,,4.848484848484849,,,,,,,,0.2033225236525301,0.0551868647575741,0.0122771664740102,1.846886601986064e-11,2.8341977348954036e-10,,4.740394440891911e-20,4.205505326646851e-20,,2.0626950046966977e-11,2.4627213058273643e-10,,3.1031671055924075e-11,4.0856134275461624e-10,,0.1943693290525567,4.6340314918680287e-10,8.09149025560174e-10,1.3616204981524621e-19,4.3561092335745804e-10,6.904767904061573e-10,4.566893373175379e-10,8.501372263128914e-10,1,2,1.3819660112501049,1.3819660112501055,32768,32768
2.0,4,path,iterative,sparse,1.0,,,7.272727272727273,7.878787878787879,,7.878787878787879,,,,9.090909090909092,0.3271807266816921,0.0499079917722258,0.0191311665077555,0.2256477972954797,0.0431196314489794,0.0126847670853854,0.01481393510339,0.0065981899433674,0.0013499026715386,9.236175776872926e-12,1.048803502647422e-09,,-0.2576785061340325,0.0615369203737482,0.013901347466654,0.2704158072434959,0.1742071017608131,0.3211183363845887,0.0075905603062059,-1.9809545153302868e-10,-0.184846169349804,2.53856193803613e-09,0.3933803260819126,1,2,0.381966011250105,1.3819660112501055,8192,8192
2.0,4,star,iterative,sparse,1.5,,,6.0606060606060606,6.0606060606060606,,3.6363636363636367,,,,6.0606060606060606,0.5541997323179917,0.0812791409315401,0.0203525740593241,-1.039124498107693,0.1523983892318821,0.0381610763558382,0.1764807986541953,0.0509884511873757,0.0106626543395722,-1.3231390982859636e-11,5.299071259931522e-11,,-0.9294212059314124,0.136309263206782,0.0341323043353106,0.6423585097797132,-1.2044222058642826,1.3914111045608546,0.2321012559861078,-3.154670968896767e-11,-1.0772679703446766,1.00723346330156e-10,1.2445159257696323,1,4,1.0,5.0,8192,8192
2.0,4,star,iterative,sparse,1.55,,,7.878787878787879,7.878787878787879,,3.6363636363636367,,,,7.878787878787879,0.566642016193504,0.0828503462622568,0.0202962919330963,-1.0624537803505052,0.1553443992445861,0.0380555473753831,0.1844703868452835,0.0528503131651842,0.0106959101652372,1.42200327901687e-11,2.4873496898716354e-11,,-0.950287550337159,0.1389442546513513,0.0340379163401879,0.6308430985795827,-1.1828308098131528,1.4101623663410252,0.2238541959518375,2.7210067532479343e-11,-1.0579560386704108,5.845819661676188e-11,1.261287564179457,1,4,1.0,5.0,8192,8192
2.0,4,star,iterative,sparse,1.6,,,5.454545454545455,5.454545454545455,,3.6363636363636367,,,,5.454545454545455,0.5784634732164741,0.0889617537660558,0.0202113668627228,-1.0846190122774773,0.1668032883150042,0.037896312869515,0.1926754782068242,0.0576269381659689,0.0113781574094703,3.938988024643209e-12,2.175019294004427e-11,,-0.9701127364594988,0.1491933966138741,0.0338954926674261,0.6443395454709561,-1.2081366477587685,1.4467689125615149,0.2335350655449664,-8.378853166846056e-13,-1.0805902681982809,3.828230787927822e-11,1.2940294545048103,1,4,1.0,5.0,8192,8192
2.0,4,star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,5.454545454545455,,,,5.454545454545455,0.590220257696007,0.1099904619174828,0.020144541051474,-1.106662983181428,0.2062321160947738,0.0377710144719511,0.2027575430480037,0.0725225903861349,0.0110670372455522,-1.6337563246704434e-12,1.169090378471859e-11,,-0.989829463429286,0.1844596122930702,0.0337834223749733,0.6307741485936721,-1.1827015286040656,1.4514834530900989,0.2238052649254155,1.0473011347045258e-11,-1.0578404060287534,3.2401650806868076e-11,1.298246267731221,1,4,1.0,5.0,8192,8192
2.0,4,star,iterative,sparse,1.7,,,3.6363636363636367,3.6363636363636367,,3.6363636363636367,,,,3.6363636363636367,0.5972795724434399,0.0916298685289185,0.0197268498973551,-1.1198991983305424,0.1718060034864322,0.0369878435599009,0.2053906427614754,0.0625929979085476,0.0108968703656156,1.0475918743590997e-12,2.0990782439774963e-11,,-1.0016682941666564,0.1536679611000229,0.0330829330143155,0.599069666486787,-1.1232556246528056,1.4507365795143667,0.2018725117338319,1.1454504011965128e-11,-1.0046703731419373,5.155653681754302e-11,1.297578243698286,1,4,1.0,5.0,8192,8192
2.0,5,cycle,iterative,sparse,0.61,,,4.848484848484849,,,,,,,,0.2033231453439076,0.055193599228318,0.0122772145796161,3.0777892040534384e-11,2.684757443856016e-10,,8.606435611435844e-20,6.132982872467364e-20,,-3.47027963111636e-11,5.480467386134124e-10,,-3.47027963111636e-11,5.480467386134124e-10,,0.194271947622512,2.5354596200344304e-10,7.063589713141026e-10,9.61966682095755e-20,-4.864213024711582e-10,-4.864213024711582e-10,1.0716726826842115e-09,1.0716726826842115e-09,1,1,1.3819660112501049,1.3819660112501049,100000,100000
2.0,5,path,iterative,sparse,1.0,,,7.272727272727273,7.878787878787879,,7.878787878787879,,,,9.090909090909092,0.327278643174061,0.0496918120672451,0.0191389538945007,0.2257261036239979,0.0431106000994669,0.0126909919866116,0.0148278536139054,0.0065822178125889,0.001337021876072,-5.334896357797667e-11,5.51863944135784e-10,,-0.2577802805608702,0.0616742548966072,0.013909435080979,0.2709590857141681,0.1747106608323858,0.3206316596363766,0.0076438436229898,4.372773883354572e-10,-0.1855689370555986,1.5567265978591342e-09,0.3923989336197611,1,2,0.381966011250105,1.3819660112501055,20000,20000
2.0,5,star,iterative,sparse,1.5,,,6.0606060606060606,6.0606060606060606,,3.6363636363636367,,,,6.0606060606060606,0.5560121469064984,0.0797990656813344,0.0204958422333174,-1.042522775424067,0.1496232482205001,0.0384297042033575,0.1774785365950429,0.0501454158922268,0.0108800842243901,2.958097308769503e-11,1.4096247486141802e-10,,-0.9324607175988971,0.1338271015533257,0.0343725723673567,0.6389135053849659,-1.197962822489845,1.3997312004084694,0.2296183878918591,1.235141433575393e-10,-1.0714905223375966,2.687655653588194e-10,1.2519576458489328,1,4,1.0,5.0,20000,20000
2.0,5,star,iterative,sparse,1.55,,,7.878787878787879,7.878787878787879,,3.6363636363636367,,,,7.878787878787879,0.5688842197825049,0.0866562471309875,0.0204735651273594,-1.0666579121109785,0.1624804633662075,0.0383879346148932,0.1862654403849615,0.0550008363878337,0.0104936258237803,-2.1687536488901315e-11,6.381043441714517e-11,,-0.9540478400704586,0.145326944444932,0.0343352125249087,0.6799459240097205,-1.2748986075704096,1.4068844658346764,0.2600586335123057,-6.02566885277156e-11,-1.1403039803322308,1.2057096987483362e-10,1.2583557208879748,1,4,1.0,5.0,20000,20000
2.0,5,star,iterative,sparse,1.6,,,5.454545454545455,5.454545454545455,,3.6363636363636367,,,,5.454545454545455,0.5790591913026732,0.087153877701401,0.0202564840103902,-1.0857359836945182,0.1634135206611941,0.0379809074100607,0.1928842568046543,0.0573371007002961,0.0116161841016819,-2.3162020912348426e-12,9.093857682335059e-10,,-0.9711117860616244,0.1461614962822769,0.0339711564242775,0.7019192116797945,-1.316098521402363,1.4536302796247078,0.2771384510954162,5.741770392475587e-10,-1.177154304021814,1.581671654760086e-09,1.3001664471822032,1,4,1.0,5.0,20000,20000
2.0,5,star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,5.454545454545455,,,,5.454545454545455,0.5909308862255225,0.1216712000368467,0.0201983491635474,-1.1079954116693371,0.2281335000444073,0.0378719045960374,0.2047517961826993,0.0816450162774761,0.0115822779862525,4.061315866943361e-12,3.9219025238627575e-10,,-0.9910212237033464,0.2040488056397732,0.0338736613222261,0.7361287639650056,-1.3802414321404093,1.4780271284752398,0.304810625889364,3.3945460331530336e-10,-1.2345254673139876,1.2316711817117463e-09,1.3219876531398764,1,4,1.0,5.0,20000,20000
