hotspot_multiplier,chi,lambda,tau_dephase_probe,tau_dephase_mode_dom
2.0,4,1.5,6.0606060606060606,6.0606060606060606
2.0,4,1.55,7.878787878787879,7.878787878787879
2.0,4,1.6,5.454545454545455,5.454545454545455
2.0,4,1.65,5.454545454545455,5.454545454545455
2.0,4,1.7,3.6363636363636367,3.6363636363636367
4.0,4,1.5,5.454545454545455,5.454545454545455
4.0,4,1.55,6.0606060606060606,6.0606060606060606
4.0,4,1.6,6.0606060606060606,6.0606060606060606
4.0,4,1.65,7.878787878787879,7.878787878787879
4.0,4,1.7,15.151515151515152,15.151515151515152
2.0,5,1.5,6.0606060606060606,6.0606060606060606
2.0,5,1.55,7.878787878787879,7.878787878787879
2.0,5,1.6,5.454545454545455,5.454545454545455
2.0,5,1.65,5.454545454545455,5.454545454545455
2.0,5,1.7,7.272727272727273,7.272727272727273
4.0,5,1.5,7.272727272727273,7.272727272727273
4.0,5,1.55,17.575757575757578,17.575757575757578
4.0,5,1.6,8.484848484848484,8.484848484848484
4.0,5,1.65,5.454545454545455,5.454545454545455
4.0,5,1.7,9.696969696969695,9.696969696969695
