chi,lambda,tau_dephase_probe,tau_dephase_mode_dom,tau_dephase_global
3,1.5,9.090909090909092,9.090909090909092,9.090909090909092
3,1.55,4.242424242424242,4.242424242424242,4.242424242424242
3,1.6,4.848484848484849,4.848484848484849,4.848484848484849
3,1.65,5.454545454545455,5.454545454545455,5.454545454545455
3,1.7,6.0606060606060606,6.0606060606060606,6.0606060606060606
4,1.5,7.272727272727273,7.272727272727273,7.272727272727273
4,1.55,9.696969696969695,9.696969696969695,9.696969696969695
4,1.6,7.878787878787879,7.878787878787879,7.878787878787879
4,1.65,10.90909090909091,10.90909090909091,10.90909090909091
4,1.7,8.484848484848484,8.484848484848484,8.484848484848484
5,1.5,6.666666666666667,6.666666666666667,6.666666666666667
5,1.55,4.848484848484849,4.848484848484849,4.848484848484849
5,1.6,7.272727272727273,7.272727272727273,7.272727272727273
5,1.65,5.454545454545455,5.454545454545455,5.454545454545455
5,1.7,5.454545454545455,5.454545454545455,5.454545454545455
