topology,lambda,pattern_id,z_pattern,frustration_by_edge,rho_vector,lambda_vector,lambda_mean,lambda_max,lambda_min,ground_energy
cycle,0.1,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.004106567706013758, 0.0020532838530068803, 7.438190703344026e-40, 0.0020532838530068773]",0.002053283853006879,0.004106567706013758,7.438190703344026e-40,12.790923642449847
cycle,0.1,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.0020546539766061627, 0.0020546539766061658, 0.0020546539766061658, 0.0020546539766061627]",0.002054653976606164,0.0020546539766061658,0.0020546539766061627,12.790922092050472
cycle,0.1,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.00410383366144669, 0.004103833661446704, 0.004103833661446705, 0.004103833661446691]",0.004103833661446697,0.004103833661446705,0.00410383366144669,12.781850381645404
cycle,0.1,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.0020532838530068747, 0.0, 0.002053283853006879, 0.004106567706013754]",0.002053283853006877,0.004106567706013754,0.0,12.790923642449846
cycle,0.1,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.002054653976606175, 0.002054653976606175, 0.002054653976606174, 0.002054653976606174]",0.0020546539766061744,0.002054653976606175,0.002054653976606174,12.790922092050474
cycle,0.1,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[4.840150556522009e-33, 0.002053283853006888, 0.004106567706013775, 0.0020532838530068873]",0.0020532838530068877,0.004106567706013775,4.840150556522009e-33,12.790923642449847
cycle,0.1,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.0020532838530068847, 0.004106567706013769, 0.0020532838530068847, 3.0902806159152705e-33]",0.0020532838530068847,0.004106567706013769,3.0902806159152705e-33,12.790923642449847
cycle,0.2,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.016127283998620928, 0.008063641999310471, 8.923537933845962e-38, 0.008063641999310459]",0.008063641999310464,0.016127283998620928,8.923537933845962e-38,12.763866490842876
cycle,0.2,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.008084504140266369, 0.008084504140266381, 0.008084504140266381, 0.008084504140266369]",0.008084504140266374,0.008084504140266381,0.008084504140266369,12.763842374296495
cycle,0.2,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.016085923377284844, 0.016085923377284907, 0.016085923377284914, 0.01608592337728485]",0.01608592337728488,0.016085923377284914,0.016085923377284844,12.727780970655242
cycle,0.2,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.008063641999310455, 0.0, 0.008063641999310473, 0.016127283998620928]",0.008063641999310464,0.016127283998620928,0.0,12.763866490842876
cycle,0.2,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.008084504140266423, 0.008084504140266423, 0.008084504140266421, 0.008084504140266421]",0.008084504140266423,0.008084504140266423,0.008084504140266421,12.763842374296496
cycle,0.2,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[1.9660480453283804e-32, 0.00806364199931048, 0.016127283998620956, 0.008063641999310478]",0.008063641999310478,0.016127283998620956,1.9660480453283804e-32,12.763866490842876
cycle,0.2,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.008063641999310468, 0.016127283998620935, 0.008063641999310468, 1.9391094931778454e-32]",0.008063641999310468,0.016127283998620935,1.9391094931778454e-32,12.763866490842876
cycle,0.35,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.04706540783561318, 0.02353270391780661, 5.7845812707967004e-36, 0.02353270391780657]",0.02353270391780659,0.04706540783561318,5.7845812707967004e-36,12.690728904455575
cycle,0.35,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.02370439685481353, 0.02370439685481357, 0.02370439685481357, 0.02370439685481353]",0.02370439685481355,0.02370439685481357,0.02370439685481353,12.690519022394513
