topology,lambda,n_patterns,dim_bond,kappa_massless,resid_massless,kappa_screened,mu2_screened,resid_screened,rss_massless,rss_screened,improvement_frac,best_model
cycle,0.1,7,256,-0.004106567706013764,3.305167678601387e-15,-0.004106567706013762,4.951819004598228e-17,3.3306557639072852e-15,1.4737877972869512e-33,1.4966059244685292e-33,-2.2818127181577943e-17,massless
cycle,0.2,7,256,-0.016127283998620935,2.973142337110094e-15,-0.016127283998620935,0.0,2.973142337110094e-15,1.8392630968898102e-32,1.8392630968898102e-32,0.0,massless
cycle,0.35,7,256,-0.047065407835613186,1.3031170765915855e-15,-0.0470654078356132,1.1499700625125304e-17,1.3439815238095453e-15,3.009265538105056e-32,3.2009599207219845e-32,-1.9169438261692276e-15,massless
cycle,0.5,7,256,-0.0896789987196449,2.544560366330635e-15,-0.0896789987196449,0.0,2.544560366330635e-15,4.165786469709591e-31,4.165786469709591e-31,0.0,massless
cycle,0.7,7,256,-0.15686498271000276,1.3590963256201535e-15,-0.15686498271000276,0.0,1.3590963256201535e-15,3.6361557350031013e-31,3.6361557350031013e-31,0.0,massless
cycle,1.0,7,256,-0.26335698551230563,1.9246568740652367e-15,-0.26335698551230563,0.0,1.9246568740652367e-15,2.055352436650058e-30,2.055352436650058e-30,0.0,massless
cycle,1.2,7,256,-0.33139547484726856,7.698959216437725e-16,-0.33139547484726856,0.0,7.698959216437725e-16,5.207714569623086e-31,5.207714569623086e-31,0.0,massless
cycle,1.4,7,256,-0.39484235755167063,1.006476021562114e-15,-0.39484235755167063,0.0,1.006476021562114e-15,1.2634100435180267e-30,1.2634100435180267e-30,0.0,massless
path,0.1,7,64,-0.00264646997709926,0.536965837313715,-0.0024961668192791503,0.09280580711427873,0.5313640357306617,2.270073888073246e-05,2.22295665536095e-05,0.020755814583764555,massless
path,0.2,7,64,-0.010420108814331377,0.5361052186829485,-0.009839987769672853,0.09087091686924978,0.5307029260761282,0.0003503435397785624,0.00034331834337944403,0.02005230752523284,massless
path,0.35,7,64,-0.030610137016818223,0.5339014873442115,-0.028993835324606334,0.08593044274442552,0.5289961380120088,0.0029885987465205857,0.0029339340770849205,0.01829107018776186,massless
path,0.5,7,64,-0.05884248343514048,0.5309051475243028,-0.05596535791575392,0.07924192504603259,0.5266431685926592,0.01087168589329285,0.010697835955170223,0.015991074413755937,massless
path,0.7,7,64,-0.10431551962123087,0.5263234296482865,-0.09984057834552576,0.06906146966347655,0.5229725309216908,0.03335529382891424,0.03293192520658597,0.01269269653266451,massless
path,1.0,7,64,-0.17864489578409595,0.5196160550582134,-0.17256932270850464,0.05417220674416124,0.5174373789990472,0.09443086685556694,0.09364065662386697,0.008368134890772523,massless
path,1.2,7,64,-0.2274489772828691,0.5158174933212727,-0.2208847947824376,0.04566372010701947,0.5142150611549041,0.15003551997552078,0.14910477101556513,0.006203524072882936,massless
path,1.4,7,64,-0.2737763204702327,0.5126872075314932,-0.2670680735687832,0.038535574166312925,0.5115100810898687,0.21381086352747294,0.21283017398935392,0.004586715202116088,massless
star,0.1,7,64,-0.006157127686051432,0.4262912286691531,-0.006157127686051432,0.0,0.4262912286691531,0.00010103007105251142,0.00010103007105251142,0.0,massless
star,0.2,7,64,-0.02414973277545837,0.4259795894521989,-0.02414973277545837,0.0,0.4259795894521989,0.0015514680701401615,0.0015514680701401615,0.0,massless
star,0.35,7,64,-0.07026454804345823,0.4252484025291412,-0.07026454804345823,0.0,0.4252484025291412,0.013078814859346434,0.013078814859346434,0.0,massless
star,0.5,7,64,-0.13338888273414728,0.42439203849153456,-0.13338888273414728,0.0,0.42439203849153456,0.04690278619421311,0.04690278619421311,0.0,massless
star,0.7,7,64,-0.23220237535248012,0.4233417955525339,-0.23220237535248012,0.0,0.4233417955525339,0.14127625681233125,0.14127625681233125,0.0,massless
star,1.0,7,64,-0.3877371311081947,0.42226189185225127,-0.3877371311081947,0.0,0.42226189185225127,0.39147967660186284,0.39147967660186284,0.0,massless
star,1.2,7,64,-0.4868192529578521,0.4218564322232954,-0.4868192529578521,0.0,0.4218564322232954,0.6156794282928786,0.6156794282928786,0.0,massless
star,1.4,7,64,-0.5792399248361707,0.42163186427862,-0.5792399248361707,0.0,0.42163186427862,0.8705096004870864,0.8705096004870864,0.0,massless
