topology,lambda,pattern_id,z_pattern,frustration_by_edge,rho_vector,lambda_vector,lambda_mean,lambda_max,lambda_min,ground_energy
path,0.2,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.004700539357556969, 0.004700539357556969, 0.0, 0.0]",0.0023502696787784847,0.004700539357556969,0.0,9.586248130337788
path,0.2,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.008084504140266385, 0.008084504140266385, 3.386882948902397e-36]",0.004042252070133192,0.008084504140266385,0.0,9.58192118714825
path,0.2,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.004691137273736702, 0.012751033132787349, 0.012751033132787363, 0.004691137273736716]",0.008721085203262032,0.012751033132787363,0.004691137273736702,9.554445752196013
path,0.2,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.004700539357556969, 0.004700539357556969]",0.0023502696787784847,0.004700539357556969,0.0,9.586248130337788
path,0.2,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.0047005393575569755, 0.0047005393575569755, 0.004700539357556968, 0.004700539357556968]",0.004700539357556971,0.0047005393575569755,0.004700539357556968,9.572496260675576
path,0.2,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.00807218633705424, 0.012763309563397263, 0.004691123226343022]",0.006381654781698632,0.012763309563397263,0.0,9.56818348033269
path,0.2,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.004691123226343022, 0.012763309563397267, 0.008072186337054246, 3.2601009628498234e-33]",0.006381654781698633,0.012763309563397267,3.2601009628498234e-33,9.568183480332692
path,0.6,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.03873465489743149, 0.03873465489743149, 0.0, 0.0]",0.019367327448715745,0.03873465489743149,0.0,9.479029529702993
path,0.6,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.06220909011038308, 0.06220909011038308, 2.173391935213634e-34]",0.03110454505519154,0.06220909011038308,0.0,9.443947668407683
path,0.6,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.0381906292352371, 0.09908400596910434, 0.09908400596910434, 0.0381906292352371]",0.06863731760217072,0.09908400596910434,0.0381906292352371,9.203852948680108
path,0.6,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.03873465489743149, 0.03873465489743149]",0.019367327448715745,0.03873465489743149,0.0,9.479029529702993
path,0.6,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.03873465489743154, 0.03873465489743154, 0.03873465489743148, 0.03873465489743148]",0.038734654897431504,0.03873465489743154,0.03873465489743148,9.358059059405985
path,0.6,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.061546489012156126, 0.09973125813968706, 0.03818476912753094]",0.04986562906984353,0.09973125813968706,0.0,9.32390530497117
path,0.6,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.0381847691275309, 0.09973125813968699, 0.061546489012156085, 3.0014017031068706e-32]",0.049865629069843494,0.09973125813968699,3.0014017031068706e-32,9.32390530497117
path,1.0,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.09256553640691821, 0.09256553640691821, 0.0, 0.0]",0.046282768203459106,0.09256553640691821,0.0,9.277403858868142
path,1.0,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.1356777963737853, 0.1356777963737853, 8.76852603335132e-34]",0.06783889818689265,0.1356777963737853,0.0,9.195419283467077
path,1.0,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.09012985378737799, 0.22045152966642406, 0.22045152966642403, 0.09012985378737795]",0.155290691726901,0.22045152966642406,0.09012985378737795,8.56025481979715
path,1.0,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.09256553640691821, 0.09256553640691821]",0.046282768203459106,0.09256553640691821,0.0,9.277403858868142
path,1.0,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.09256553640691809, 0.09256553640691809, 0.09256553640691832, 0.09256553640691832]",0.09256553640691821,0.09256553640691832,0.09256553640691809,8.954807717736283
path,1.0,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.13296802624479145, 0.2230465482318433, 0.09007852198705185]",0.11152327411592165,0.2230465482318433,0.0,8.877889799762247
path,1.0,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.09007852198705149, 0.2230465482318426, 0.13296802624479112, 4.9851684155695504e-33]",0.1115232741159213,0.2230465482318426,4.9851684155695504e-33,8.87788979976225
