scenario_id,N,topology,lambda,bond_cutoff,mode_index,laplacian_eigenvalue,is_low_mode,diag_covariance_coeff,high_weight_fraction
N4_cycle_alpha0.8,4,cycle,0.4,4,0,-8.238475046376281e-16,True,0.07388865912162004,0.0
N4_cycle_alpha0.8,4,cycle,0.4,4,1,2.0,True,0.07699326296860261,0.0
N4_cycle_alpha0.8,4,cycle,0.4,4,2,2.000000000000001,True,0.07699326296860255,0.0
N4_cycle_alpha0.8,4,cycle,0.4,4,3,3.9999999999999996,False,0.08062558213787963,1.0
N4_cycle_alpha0.8,4,cycle,0.6,4,0,-8.238475046376281e-16,True,0.13003891090884157,0.0
N4_cycle_alpha0.8,4,cycle,0.6,4,1,2.0,True,0.13800467706126177,0.0
N4_cycle_alpha0.8,4,cycle,0.6,4,2,2.000000000000001,True,0.13800467706126174,0.0
N4_cycle_alpha0.8,4,cycle,0.6,4,3,3.9999999999999996,False,0.15038167915207834,1.0
N4_cycle_alpha0.8,4,cycle,0.8,4,0,-8.238475046376281e-16,True,0.18274984989994209,0.0
N4_cycle_alpha0.8,4,cycle,0.8,4,1,2.0,True,0.19196300205303327,0.0
N4_cycle_alpha0.8,4,cycle,0.8,4,2,2.000000000000001,True,0.19196300205303307,0.0
N4_cycle_alpha0.8,4,cycle,0.8,4,3,3.9999999999999996,False,0.21737150999328272,1.0
N4_cycle_alpha0.8,4,cycle,1.0,4,0,-8.238475046376281e-16,True,0.22826735219333152,0.0
N4_cycle_alpha0.8,4,cycle,1.0,4,1,2.0,True,0.23433737987823916,0.0
N4_cycle_alpha0.8,4,cycle,1.0,4,2,2.000000000000001,True,0.23433737987823908,0.0
N4_cycle_alpha0.8,4,cycle,1.0,4,3,3.9999999999999996,False,0.273061394767102,1.0
N5_cycle_alpha0.8,5,cycle,0.4,4,0,-4.440892098500689e-16,True,0.07357375340174847,0.0
N5_cycle_alpha0.8,5,cycle,0.4,4,1,1.3819660112501047,True,0.07586495829338272,0.0
N5_cycle_alpha0.8,5,cycle,0.4,4,2,1.3819660112501055,True,0.0758649582687225,0.0
N5_cycle_alpha0.8,5,cycle,0.4,4,3,3.618033988749893,False,0.07981243338234459,0.49999999965843434
N5_cycle_alpha0.8,5,cycle,0.4,4,4,3.6180339887498945,False,0.07981243343686696,0.5000000003415657
N5_cycle_alpha0.8,5,cycle,0.6,4,0,-4.440892098500689e-16,True,0.12634926488237191,0.0
N5_cycle_alpha0.8,5,cycle,0.6,4,1,1.3819660112501047,True,0.1339822595945998,0.0
N5_cycle_alpha0.8,5,cycle,0.6,4,2,1.3819660112501055,True,0.13398225960065402,0.0
N5_cycle_alpha0.8,5,cycle,0.6,4,3,3.618033988749893,False,0.14682416801443765,0.500000000086234
N5_cycle_alpha0.8,5,cycle,0.6,4,4,3.6180339887498945,False,0.14682416798911516,0.4999999999137659
N5_cycle_alpha0.8,5,cycle,0.8,4,0,-4.440892098500689e-16,True,0.16684225933948996,0.0
N5_cycle_alpha0.8,5,cycle,0.8,4,1,1.3819660112501047,True,0.18342600005308826,0.0
N5_cycle_alpha0.8,5,cycle,0.8,4,2,1.3819660112501055,True,0.1834260002489194,0.0
N5_cycle_alpha0.8,5,cycle,0.8,4,3,3.618033988749893,False,0.20738896517964914,0.49999999999072287
N5_cycle_alpha0.8,5,cycle,0.8,4,4,3.6180339887498945,False,0.2073889651834971,0.5000000000092771
N5_cycle_alpha0.8,5,cycle,1.0,4,0,-4.440892098500689e-16,True,0.19277988013869837,0.0
N5_cycle_alpha0.8,5,cycle,1.0,4,1,1.3819660112501047,True,0.22131138905550016,0.0
N5_cycle_alpha0.8,5,cycle,1.0,4,2,1.3819660112501055,True,0.22131138914683787,0.0
N5_cycle_alpha0.8,5,cycle,1.0,4,3,3.618033988749893,False,0.2531538539885753,0.5000000000610746
N5_cycle_alpha0.8,5,cycle,1.0,4,4,3.6180339887498945,False,0.2531538539576528,0.49999999993892535
