scenario_id,N,topology,lambda,source_site,shell_count,keep,high_dim,harmbg_power,harmbg_residual,harmonic_residual_l2
N4_cycle_alpha0.8,4,cycle,0.4,2,3,1,3,-0.4383032607327988,2.438303260732799,0.13548582796800837
N4_cycle_alpha0.8,4,cycle,0.4,2,3,2,2,-0.35130193809789356,2.3513019380978935,0.11148294505270466
N4_cycle_alpha0.8,4,cycle,0.4,2,3,3,1,2.5366879682133803,0.5366879682133803,0.08062558213787965
N4_cycle_alpha0.8,4,cycle,0.4,2,3,4,0,-6.803100539407295e-15,2.0000000000000067,6.201917378027549e-32
N4_cycle_alpha0.8,4,cycle,1.0,1,3,1,3,-0.42800496665518534,2.4280049666551853,0.42940719664271065
N4_cycle_alpha0.8,4,cycle,1.0,1,3,2,2,-0.3329378697092045,2.3329378697092045,0.3598284770836702
N4_cycle_alpha0.8,4,cycle,1.0,1,3,3,1,2.536687968213367,0.536687968213367,0.2730613947671021
N4_cycle_alpha0.8,4,cycle,1.0,1,3,4,0,-6.803100539407295e-15,2.0000000000000067,1.9881044758434385e-31
N4_star_alpha0.8,4,star,0.4,0,2,1,2,-0.3516194083091443,2.351619408309144,0.1098414636277403
N4_star_alpha0.8,4,star,0.4,0,2,2,1,-0.35161940830914196,2.351619408309142,0.07766964378663076
N4_star_alpha0.8,4,star,0.4,0,2,3,0,6.335548858600769e-15,1.9999999999999936,3.002339006427168e-32
N4_star_alpha0.8,4,star,1.0,0,2,1,2,-0.3516194083091441,2.351619408309144,0.335798976987564
N4_star_alpha0.8,4,star,1.0,0,2,2,1,-0.3516194083091435,2.3516194083091433,0.23744573374341202
N4_star_alpha0.8,4,star,1.0,0,2,3,0,6.335548858600769e-15,1.9999999999999936,8.373502435315116e-32
N5_cycle_alpha0.8,5,cycle,0.6,3,3,1,4,-0.3902945021699075,2.3902945021699074,0.28109991887663954
N5_cycle_alpha0.8,5,cycle,0.6,3,3,2,3,-0.2981809893045356,2.2981809893045355,0.24711519280716138
N5_cycle_alpha0.8,5,cycle,0.6,3,3,3,2,0.33837392940231953,1.6616260705976804,0.20764072972498196
N5_cycle_alpha0.8,5,cycle,0.6,3,3,4,1,0.3383739294027167,1.6616260705972832,0.14682416803565335
N5_cycle_alpha0.8,5,cycle,0.6,3,3,5,0,2.6635628595747783e-14,1.9999999999999734,9.268250657872996e-32
N5_cycle_alpha0.8,5,cycle,0.8,4,3,1,4,-0.3869260771600754,2.3869260771600755,0.3915489251318414
N5_cycle_alpha0.8,5,cycle,0.8,4,3,2,3,-0.29316373396521483,2.2931637339652147,0.3459269622406884
N5_cycle_alpha0.8,5,cycle,0.8,4,3,3,2,0.3383739294023191,1.6616260705976809,0.2932922870511391
N5_cycle_alpha0.8,5,cycle,0.8,4,3,4,1,0.33837392940271815,1.6616260705972818,0.20738896506462648
N5_cycle_alpha0.8,5,cycle,0.8,4,3,5,0,2.6635628595747783e-14,1.9999999999999734,1.2720772291808835e-31
N5_star_alpha0.8,5,star,0.6,0,2,1,3,-0.5291926161373636,2.5291926161373635,0.4111154408456823
N5_star_alpha0.8,5,star,0.6,0,2,2,2,-0.5485531594871723,2.5485531594871724,0.33567435180028127
N5_star_alpha0.8,5,star,0.6,0,2,3,1,-0.5073657286512951,2.507365728651295,0.23735761044430284
N5_star_alpha0.8,5,star,0.6,0,2,4,0,-6.803100539407295e-15,2.0000000000000067,1.5336160688079807e-31
N5_star_alpha0.8,5,star,0.8,0,2,1,3,-0.5291926159291008,2.5291926159291007,0.4516893815129437
N5_star_alpha0.8,5,star,0.8,0,2,2,2,-0.5485531592546915,2.5485531592546913,0.368802835598689
N5_star_alpha0.8,5,star,0.8,0,2,3,1,-0.5073657286512935,2.5073657286512936,0.2607829860024106
N5_star_alpha0.8,5,star,0.8,0,2,4,0,-6.803100539407295e-15,2.0000000000000067,1.685288309706268e-31
