lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,E2,E3,E4,E5,gap01,gap12,gap23,gap34,gap45,min_gap,status
0.1,0.005495589921828414,0.930696823625976,0.930696823625976,0.9964181327001815,0.9909422272521873,0.0044934289911404465,0.011425707395840536,7.595313914730232,8.575263782615515,8.587874550716094,8.602066800832352,8.61399302638456,9.565278393681844,0.9799498678852832,0.01261076810057915,0.01419225011625791,0.011926225552207015,0.9512853672972845,0.011926225552207015,✓
0.21250000000000002,0.023135573154629996,0.930696823625976,0.930696823625976,0.9844094879442516,0.9616346102218055,0.01979678203872501,0.049870019977423276,7.579325583791601,8.545584727596573,8.56716238009777,8.587847077065831,8.606640057383268,9.519665720577983,0.9662591438049724,0.02157765250119681,0.02068469696806119,0.01879298031743737,0.9130256631947145,0.01879298031743737,✓
0.32500000000000007,0.04840724538147656,0.930696823625976,0.930696823625976,0.9656699585408546,0.9189245359002471,0.044438114124181194,0.11028580276769592,7.5516766920525775,8.494784175526425,8.531695942860875,8.563541816953652,8.59382421213711,9.447339802342597,0.9431074834738471,0.03691176733445012,0.03184587409277739,0.03028239518345721,0.8535155902054878,0.03028239518345721,✓
0.4375,0.07611094221190262,0.930696823625976,0.930696823625976,0.942587814448811,0.870846567773654,0.07613638839682199,0.18538488438401193,7.5121341246607285,8.423352816141854,8.481719363289558,8.529233958993567,8.575273680981075,9.355815927632399,0.9112186914811256,0.058366547147704395,0.0475145957040084,0.046039721987508386,0.7805422466513239,0.046039721987508386,~
0.55,0.10229803868650378,0.930696823625976,0.930696823625976,0.9175654290619883,0.8237002853024066,0.11230067132962276,0.2675422690804156,7.460374094557089,8.331905152806044,8.417564312462643,8.485010848478144,8.550595152672846,9.24694709515045,0.871531058248955,0.08565915965659876,0.06744653601550077,0.06558430419470263,0.6963519424776035,0.06558430419470263,✗
0.6000000000000001,0.11281547894050203,0.930696823625976,0.930696823625976,0.9063646600910078,0.8041126968680954,0.12913585451852014,0.30450847234295914,7.433344135814397,8.285010378780274,8.38460381393663,8.462195672109965,8.537528225752814,9.19304129949234,0.8516662429658775,0.09959343515635588,0.07759185817333503,0.07533255364284841,0.6555130737395256,0.07533255364284841,✗
0.65,0.45581410232214603,0.930696823625976,1.2409290981679681,0.8953245400436947,0.785664501884588,0.14614178333478506,0.34100989926565556,7.403780421686447,8.23435282466572,8.348961993910043,8.437443993424388,8.523095114895256,9.135746643835649,0.8305724029792731,0.11460916924432318,0.08848199951434488,0.08565112147086751,0.6126515289403933,0.08565112147086751,✗
0.7000000000000001,0.46457215265983753,0.930696823625976,1.2409290981679681,0.8845645101770699,0.7684753082433039,0.16312474739663485,0.3765974802202005,7.3716392427802475,8.179991629910335,8.310680875308027,8.410759482354573,8.507235939648712,9.075092590785482,0.8083523871300873,0.13068924539769178,0.10007860704654625,0.09647645729413945,0.5678566511367702,0.09647645729413945,✗
0.75,0.472399987189285,0.930696823625976,1.2409290981679681,0.874183979070704,0.7526141382468601,0.17990495127673814,0.410877648288339,7.336874161658995,8.121985157329839,8.269804429600164,8.382143441564564,8.489885193157033,9.01113287022825,0.7851109956708431,0.14781927227032554,0.11233901196439966,0.10774175159246902,0.5212476770712176,0.10774175159246902,✗
0.8,0.4792977977216113,0.930696823625976,1.2409290981679681,0.8642645537062544,0.738112641034747,0.19631640235571773,0.44350845725612703,7.299436159518585,8.060390727752107,8.226378356870624,8.351594300383766,8.470971633465727,8.943944576007947,0.7609545682335224,0.16598762911851672,0.12521594351314214,0.1193773330819603,0.47297294254222066,0.1193773330819603,✗
1.5,0.8296706268400442,0.930696823625976,1.5511613727099602,0.7923090648100687,0.6631595495647623,0.3276671699441537,0.6349159313477223,6.4629478178483275,6.851277225100348,7.378713063315417,7.710238175555316,7.737001421563443,7.99007349286347,0.38832940725202025,0.5274358382150695,0.3315251122398992,0.02676324600812663,0.25307207130002674,0.02676324600812663,✗
