alpha,hotspot_multiplier,lambda_c1,lambda_revival,residual_min,lambda_revival_first,residual_min_first,lambda_revival_global,residual_min_global,first_violation_lambda,revival_reporting_rule,revival_method,revival_gap,lambda_c2,max_residual,mean_residual
0.6,2.0,0.4053571428571428,1.22,0.1934457598939153,1.22,0.1934457598939153,1.22,0.1934457598939153,0.6333333333333334,global_minimum_post_violation,global_minimum_fallback,0.0,1.2666666666666666,0.8020050953927894,0.24281387809868732
0.6,3.0,0.2446428571428571,0.4214285714285715,0.1029087536516389,0.4214285714285715,0.1029087536516389,0.4214285714285715,0.1029087536516389,0.4214285714285715,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.7744036839119942,0.2756073126663369
0.6,4.0,0.1803571428571428,0.3089285714285714,0.1052189670082598,0.6263888888888889,0.1358902569623604,0.3089285714285714,0.1052189670082598,0.3089285714285714,global_minimum_post_violation,first_local_minimum,0.3174603174603175,0.6333333333333334,0.8524874852960937,0.27945482877280037
0.8,2.0,0.3410714285714286,0.55,0.1022980386865037,0.55,0.1022980386865037,0.55,0.1022980386865037,0.55,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.831881175308327,0.2558895529223134
0.8,3.0,0.2125,0.3410714285714286,0.1043514670541803,0.3410714285714286,0.1043514670541803,0.3410714285714286,0.1043514670541803,0.3410714285714286,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.7995452921810184,0.29472576609871015
0.8,4.0,0.1482142857142857,0.2446428571428571,0.1045548800153802,0.2446428571428571,0.1045548800153802,0.2446428571428571,0.1045548800153802,0.2446428571428571,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.8859835417468298,0.29921563511695615
1.0,2.0,0.2928571428571429,0.4696428571428571,0.1012274419935754,1.22,0.1359524536560051,0.4696428571428571,0.1012274419935754,0.4696428571428571,global_minimum_post_violation,first_local_minimum,0.750357142857143,0.6333333333333334,0.8571048102349251,0.2679149628543226
1.0,3.0,0.1803571428571428,0.2928571428571429,0.1044079377443317,0.2928571428571429,0.1044079377443317,0.2928571428571429,0.1044079377443317,0.2928571428571429,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.8211796689767166,0.31139567297920007
1.0,4.0,0.1321428571428571,0.2125,0.1061372191062951,0.2125,0.1061372191062951,0.2125,0.1061372191062951,0.2125,global_minimum_post_violation,global_minimum_fallback,0.0,0.6333333333333334,0.9125806063843506,0.3163420247659493
1.2,2.0,0.2767857142857143,0.4214285714285715,0.1020250409414955,1.1733333333333331,0.1133202834128738,0.4214285714285715,0.1020250409414955,0.4214285714285715,global_minimum_post_violation,first_local_minimum,0.7519047619047616,0.6333333333333334,0.8786842469168469,0.27901133317811305
1.2,3.0,0.1642857142857143,0.2607142857142857,0.1044132309107662,0.94,0.1293284884896476,0.2607142857142857,0.1044132309107662,0.2607142857142857,global_minimum_post_violation,first_local_minimum,0.6792857142857143,0.5339285714285715,0.8399928472136067,0.32608454699822537
1.2,4.0,0.1160714285714285,0.1964285714285714,0.1115340671520991,1.22,0.1314197969203145,0.1964285714285714,0.1115340671520991,0.1964285714285714,global_minimum_post_violation,first_local_minimum,1.0235714285714286,0.3732142857142857,0.9342110940056436,0.33134596570251357
