deltaB,kappa,hotspot_multiplier,bond_cutoff,lambda_c1,lambda_revival,lambda_c2,residual_min,lambda_revival_first,lambda_revival_global,revival_gap,revival_method,revival_reporting_rule,err_c1,err_revival,err_c2,score,mean_residual,max_residual
7.0,0.24,1.5,4,0.15625,0.8,1.0333333333333334,0.09834196316969979,0.8,0.8,0.0,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.258,0.061666666666666536,2.065833333333333,0.1544578147752018,0.4496570775623917
7.0,0.24,1.0,4,0.15625,0.8,1.0333333333333334,0.09568093480575868,0.8,0.8,0.0,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.258,0.061666666666666536,2.065833333333333,0.15255601662326546,0.42802788733809327
6.0,0.2,2.0,4,0.15625,0.8,1.0333333333333334,0.1151037257292633,0.8,0.8,0.0,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.258,0.061666666666666536,2.065833333333333,0.17841276615416193,0.4994992834276294
6.5,0.2,1.5,4,0.32500000000000007,1.0333333333333334,1.2666666666666666,0.13605194325346615,1.0333333333333334,1.0333333333333334,0.0,first_local_minimum,global_minimum_post_violation,0.12200000000000005,0.024666666666666615,0.17166666666666663,2.2016666666666667,0.19732631755742663,0.463432413765249
7.0,0.24,2.0,4,0.15625,0.7000000000000001,1.0333333333333334,0.10361187064189337,0.7000000000000001,0.7000000000000001,0.0,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.358,0.061666666666666536,2.5658333333333325,0.15774447124216326,0.46064602695088974
6.0,0.24,1.0,4,0.1,0.8,1.0333333333333334,0.033907484033447566,0.8,0.8,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.258,0.061666666666666536,2.628333333333333,0.23379025220521193,0.7526727913872923
7.0,0.2,1.5,4,0.3812500000000001,1.0333333333333334,1.2666666666666666,0.16007721228728677,1.0333333333333334,1.0333333333333334,0.0,global_minimum_fallback,global_minimum_post_violation,0.17825000000000008,0.024666666666666615,0.17166666666666663,2.764166666666667,0.2520663013456667,0.47691674302906106
5.5,0.16,1.5,4,0.32500000000000007,0.8,1.0333333333333334,0.1699852116573931,0.8,0.8,0.0,global_minimum_fallback,global_minimum_post_violation,0.12200000000000005,0.258,0.061666666666666536,2.8183333333333334,0.214726883319727,0.477810690444584
7.0,0.24,2.5,4,0.15625,0.6000000000000001,1.0333333333333334,0.10705345755746021,0.6000000000000001,0.6000000000000001,0.0,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.45799999999999996,0.061666666666666536,3.0658333333333325,0.16168803466558423,0.460393888984024
6.0,0.24,1.5,4,0.1,0.7000000000000001,1.0333333333333334,0.0024086646629842834,0.7000000000000001,0.7000000000000001,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.358,0.061666666666666536,3.1283333333333325,0.21907344336627796,0.7295796196707328
