scenario,perm,source_site,shell_count,bg_power,covbg_power,harmbg_power
N4_cycle,"(0, 1, 2, 3)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(0, 3, 2, 1)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(1, 2, 3, 0)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(1, 0, 3, 2)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(2, 3, 0, 1)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(2, 1, 0, 3)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(3, 0, 1, 2)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N4_cycle,"(3, 2, 1, 0)",0,3,-6.803100539407295e-15,-0.3329378697092056,2.5366879682134202
N5_cycle,"(0, 1, 2, 3, 4)",4,3,2.6635628595747783e-14,-0.38692607706566234,0.3383739294023191
N5_cycle,"(0, 4, 3, 2, 1)",1,3,2.6635628595747783e-14,-0.3869260771221543,0.33837392940231714
N5_cycle,"(1, 2, 3, 4, 0)",4,3,2.6635628595747783e-14,-0.3869260771179842,0.3383739294023186
N5_cycle,"(1, 0, 4, 3, 2)",0,3,-0.505860177682344,-0.38692607715410593,0.33837392940231764
N5_cycle,"(2, 3, 4, 0, 1)",2,3,2.6635628595747783e-14,-0.3869260771326621,0.3383739294023191
N5_cycle,"(2, 1, 0, 4, 3)",4,3,2.6635628595747783e-14,-0.38692607710966986,0.3383739294023186
N5_cycle,"(3, 4, 0, 1, 2)",3,3,2.6635628595747783e-14,-0.38692607701231113,0.33837392940231764
N5_cycle,"(3, 2, 1, 0, 4)",4,3,-0.36740914570225325,-0.3869260770831983,0.33837392940232003
N5_cycle,"(4, 0, 1, 2, 3)",2,3,2.6635628595747783e-14,-0.3869260771135579,0.33837392940231764
N5_cycle,"(4, 3, 2, 1, 0)",3,3,2.6635628595747783e-14,-0.38692607708425397,0.3383739294023186
N4_star,"(0, 1, 2, 3)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N4_star,"(0, 1, 3, 2)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N4_star,"(0, 2, 1, 3)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N4_star,"(0, 2, 3, 1)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N4_star,"(0, 3, 1, 2)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N4_star,"(0, 3, 2, 1)",0,2,6.335548858600769e-15,-0.3516194083091449,-0.3516194083091435
N5_star,"(0, 1, 2, 3, 4)",0,2,-6.803100539407295e-15,-0.5291926161485794,-0.5485531595197152
N5_star,"(0, 1, 2, 4, 3)",0,2,-6.803100539407295e-15,-0.5291926161437349,-0.5485531595489921
N5_star,"(0, 1, 3, 2, 4)",0,2,-6.803100539407295e-15,-0.5291926161271364,-0.5485531595308102
N5_star,"(0, 1, 3, 4, 2)",0,2,-6.803100539407295e-15,-0.5291926161284928,-0.5485531595283064
N5_star,"(0, 1, 4, 2, 3)",0,2,-6.803100539407295e-15,-0.5291926160490051,-0.5485531595895329
N5_star,"(0, 1, 4, 3, 2)",0,2,-6.803100539407295e-15,-0.5291926162555891,-0.5485531595733094
N5_star,"(0, 2, 1, 3, 4)",0,2,-6.803100539407295e-15,-0.5291926161494492,-0.5485531594944425
N5_star,"(0, 2, 1, 4, 3)",0,2,-6.803100539407295e-15,-0.5291926160950685,-0.5485531595349287
N5_star,"(0, 2, 3, 1, 4)",0,2,-6.803100539407295e-15,-0.5291926161120621,-0.5485531594997359
N5_star,"(0, 2, 3, 4, 1)",0,2,-6.803100539407295e-15,-0.5291926160465762,-0.5485531594825611
N5_star,"(0, 2, 4, 1, 3)",0,2,-6.803100539407295e-15,-0.5291926161271281,-0.5485531595522072
N5_star,"(0, 2, 4, 3, 1)",0,2,-6.803100539407295e-15,-0.5291926161752207,-0.5485531595506087
N5_star,"(0, 3, 1, 2, 4)",0,2,-6.803100539407295e-15,-0.5291926160999186,-0.5485531594993646
N5_star,"(0, 3, 1, 4, 2)",0,2,-6.803100539407295e-15,-0.5291926160767403,-0.5485531595549851
N5_star,"(0, 3, 2, 1, 4)",0,2,-6.803100539407295e-15,-0.5291926161116914,-0.5485531595304024
N5_star,"(0, 3, 2, 4, 1)",0,2,-6.803100539407295e-15,-0.5291926161844629,-0.5485531596044952
N5_star,"(0, 3, 4, 1, 2)",0,2,-6.803100539407295e-15,-0.5291926162434228,-0.5485531595784932
N5_star,"(0, 3, 4, 2, 1)",0,2,-6.803100539407295e-15,-0.5291926160535099,-0.5485531595153421
N5_star,"(0, 4, 1, 2, 3)",0,2,-6.803100539407295e-15,-0.5291926161357149,-0.5485531595189516
N5_star,"(0, 4, 1, 3, 2)",0,2,-6.803100539407295e-15,-0.5291926160754771,-0.5485531594856321
N5_star,"(0, 4, 2, 1, 3)",0,2,-6.803100539407295e-15,-0.5291926160559984,-0.5485531595644781
N5_star,"(0, 4, 2, 3, 1)",0,2,-6.803100539407295e-15,-0.5291926160950967,-0.5485531595303905
N5_star,"(0, 4, 3, 1, 2)",0,2,-6.803100539407295e-15,-0.529192615986897,-0.5485531595216934
N5_star,"(0, 4, 3, 2, 1)",0,2,-6.803100539407295e-15,-0.5291926161169704,-0.5485531595558346
