deltaB,kappa,bond_cutoff,lambda_c1,lambda_revival,lambda_c2,residual_min,lambda_revival_first,lambda_revival_global,revival_gap,revival_reporting_rule,mean_residual,max_residual,min_residual,lambda_c1_delta_from_baseline,lambda_revival_delta_from_baseline,lambda_c2_delta_from_baseline,mean_residual_delta_from_baseline
3.0,0.05,3,0.21250000000000002,0.32500000000000007,0.55,0.11780984973464104,0.7250000000000001,0.32500000000000007,0.4,global_minimum_post_violation,0.26467731378412973,0.5373963312512544,0.019150291461896396,0.0,-0.05625000000000002,-0.09999999999999998,-0.02943750019487229
3.0,0.05,4,0.21250000000000002,0.32500000000000007,0.55,0.11779191042812553,0.775,0.32500000000000007,0.44999999999999996,global_minimum_post_violation,0.26328393113109405,0.5184430215311118,0.01915017871165814,0.0,-0.05625000000000002,-0.09999999999999998,-0.03083088284790797
3.0,0.05,5,0.21250000000000002,0.32500000000000007,0.55,0.11779000093032888,0.775,0.32500000000000007,0.44999999999999996,global_minimum_post_violation,0.2621634334372391,0.5183876198720201,0.019150178289059183,0.0,-0.05625000000000002,-0.09999999999999998,-0.03195138054176294
3.0,0.1,3,0.1,0.49375,0.775,0.12006501390116264,0.49375,0.49375,0.0,global_minimum_post_violation,0.24011289296117064,1.2066770794650035,0.07471917351546631,-0.11250000000000002,0.11249999999999993,0.125,-0.054001921017831384
3.0,0.1,4,0.1,0.49375,0.775,0.11878444141228806,0.49375,0.49375,0.0,global_minimum_post_violation,0.23702064376086296,1.1923836342701697,0.07471917393353789,-0.11250000000000002,0.11249999999999993,0.125,-0.05709417021813906
3.0,0.1,5,0.1,0.49375,0.775,0.11881583327368617,0.49375,0.49375,0.0,global_minimum_post_violation,0.23648378939738607,1.192878835587762,0.0747191714207256,-0.11250000000000002,0.11249999999999993,0.125,-0.05763102458161595
3.0,0.2,3,0.1,0.1,0.15625,0.20788540310412806,0.1,0.1,0.0,global_minimum_post_violation,0.3063961398807837,0.5472342075080903,0.20788540310412806,-0.11250000000000002,-0.2812500000000001,-0.49375,0.012281325901781659
3.0,0.2,4,0.1,1.5,,0.20487775395241148,1.5,1.5,0.0,global_minimum_post_violation,0.30714445243695265,0.5472272243606131,0.20487775395241148,-0.11250000000000002,1.11875,,0.013029638457950632
3.0,0.2,5,0.1,1.5,,0.2004595288246639,1.5,1.5,0.0,global_minimum_post_violation,0.3067262611080719,0.5472273023567905,0.2004595288246639,-0.11250000000000002,1.11875,,0.012611447129069864
5.0,0.05,3,0.3812500000000001,0.7000000000000001,0.775,0.10096580791299326,0.7000000000000001,0.7000000000000001,0.0,global_minimum_post_violation,0.14909378856289177,0.4375622716217582,0.00556488154221757,0.16875000000000007,0.31875,0.125,-0.14502102541611026
5.0,0.05,4,0.3812500000000001,0.65,0.775,0.10043529539655416,0.65,0.65,0.0,global_minimum_post_violation,0.15071768520233275,0.44414511088522135,0.005565011973581835,0.16875000000000007,0.26874999999999993,0.125,-0.14339712877666927
5.0,0.05,5,0.3812500000000001,0.65,0.775,0.10055948697231565,0.65,0.65,0.0,global_minimum_post_violation,0.15047236784744963,0.4446360337765414,0.005565012050504969,0.16875000000000007,0.26874999999999993,0.125,-0.1436424461315524
5.0,0.1,3,0.21250000000000002,0.3812500000000001,0.65,0.1174941252453674,0.3812500000000001,0.3812500000000001,0.0,global_minimum_post_violation,0.29446914652856127,0.8203004607093957,0.014445890337622447,0.0,0.0,0.0,0.0003543325495592442
5.0,0.1,4,0.21250000000000002,0.3812500000000001,0.65,0.11765246950752906,0.3812500000000001,0.3812500000000001,0.0,global_minimum_post_violation,0.294114813979002,0.7995452921810184,0.014445999085429873,0.0,0.0,0.0,0.0
5.0,0.1,5,0.21250000000000002,0.3812500000000001,0.65,0.11765306093530303,0.3812500000000001,0.3812500000000001,0.0,global_minimum_post_violation,0.29379373982952256,0.7973141529120699,0.014445999093099293,0.0,0.0,0.0,-0.0003210741494794611
5.0,0.2,3,0.1,0.4375,1.0333333333333334,0.05760104771252206,0.4375,0.4375,0.0,global_minimum_post_violation,0.2533738468288569,0.7316200912160657,0.05760104771252206,-0.11250000000000002,0.05624999999999991,0.3833333333333334,-0.040740967150145135
5.0,0.2,4,0.1,0.4375,1.0333333333333334,0.056712474880247554,0.4375,0.4375,0.0,global_minimum_post_violation,0.25365457709984124,0.7347664271862924,0.056712474880247554,-0.11250000000000002,0.05624999999999991,0.3833333333333334,-0.04046023687916078
5.0,0.2,5,0.1,0.4375,1.0333333333333334,0.05669143672858301,0.4375,0.4375,0.0,global_minimum_post_violation,0.2533433584095792,0.7244519458340363,0.05669143672858301,-0.11250000000000002,0.05624999999999991,0.3833333333333334,-0.0407714555694228
7.0,0.05,3,0.7000000000000001,1.5,,0.3595336736813123,1.5,1.5,0.0,global_minimum_post_violation,0.08495585196810534,0.46736234625488327,0.0008456435438407572,0.48750000000000004,1.11875,,-0.20915896201089668
7.0,0.05,4,0.7250000000000001,1.5,,0.3630464660965501,1.5,1.5,0.0,global_minimum_post_violation,0.08414391501269064,0.46170433934400645,0.0008456359138957481,0.5125000000000001,1.11875,,-0.20997089896631138
7.0,0.05,5,0.7250000000000001,1.5,,0.36344967299676756,1.5,1.5,0.0,global_minimum_post_violation,0.08410419912606469,0.46109331137764165,0.0008456359080947218,0.5125000000000001,1.11875,,-0.21001061485293732
7.0,0.1,3,0.55,1.2666666666666666,1.5,0.21337532386428604,1.2666666666666666,1.2666666666666666,0.0,global_minimum_post_violation,0.0869295774313371,0.4323222938849911,0.003144426999906691,0.3375,0.8854166666666665,0.85,-0.2071852365476649
7.0,0.1,4,0.55,1.2666666666666666,1.5,0.22260593268232798,1.2666666666666666,1.2666666666666666,0.0,global_minimum_post_violation,0.08754979066877407,0.42796681557955485,0.0031444562038643875,0.3375,0.8854166666666665,0.85,-0.20656502331022797
7.0,0.1,5,0.55,1.2666666666666666,1.5,0.2236293100871346,1.2666666666666666,1.2666666666666666,0.0,global_minimum_post_violation,0.08764250395114773,0.4276832965276417,0.0031444562132566523,0.3375,0.8854166666666665,0.85,-0.2064723100278543
7.0,0.2,3,0.21250000000000002,0.26875000000000004,0.55,0.10485291647215844,0.75,0.26875000000000004,0.48124999999999996,global_minimum_post_violation,0.30570570565331845,0.5304207325912874,0.02102369149380101,0.0,-0.11250000000000004,-0.09999999999999998,0.011590891674316428
7.0,0.2,4,0.21250000000000002,0.26875000000000004,0.55,0.10486677362483998,0.75,0.26875000000000004,0.48124999999999996,global_minimum_post_violation,0.3058618513341231,0.5312093682625044,0.021023758710942975,0.0,-0.11250000000000004,-0.09999999999999998,0.01174703735512106
7.0,0.2,5,0.21250000000000002,0.26875000000000004,0.55,0.1048667927413569,0.75,0.26875000000000004,0.48124999999999996,global_minimum_post_violation,0.30586911220232826,0.5312176314180954,0.021023758724046826,0.0,-0.11250000000000004,-0.09999999999999998,0.011754298223326243
