lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status,alpha
0.1,0.0033422163663097137,2.8955012290585924,2.8955012290585924,0.9977093744176176,0.9943748138176185,0.01147942297184184,0.02828503952541375,✓,0.2
0.6,0.06784737144905906,3.3091442617812485,2.8955012290585924,0.9462092987724873,0.892130950188297,0.2842431441822394,0.6045583879190369,~,0.2
0.3,0.02453705796876271,2.8955012290585924,2.8955012290585924,0.9812880293492803,0.957210108089084,0.0953439259986091,0.2235135815497133,✓,0.2
0.4,0.03726456498444064,2.8955012290585924,2.8955012290585924,0.9694434179787238,0.9333175307307174,0.15759858417000838,0.35723356239261506,✓,0.2
0.2,0.012341908355522513,2.8955012290585924,2.8955012290585924,0.9911644920067151,0.9789316306811202,0.04457135048995066,0.10760899259236732,✓,0.2
0.5,0.048518687036085084,2.8955012290585924,2.8955012290585924,0.9572230548221834,0.9107798490015405,0.2234429319390091,0.48980086184531213,✓,0.2
0.7,0.06270585562923003,3.3091442617812485,3.3091442617812485,0.9377275961613791,0.8789265848969388,0.33203887831356943,0.68875727042241,~,0.2
0.7999999999999999,0.06516085517725523,3.3091442617812485,3.3091442617812485,0.9326186847490137,0.8718484536964809,0.3612479374092744,0.7349416389980372,~,0.2
0.8999999999999999,0.06477563571957146,3.3091442617812485,3.3091442617812485,0.9310717305994513,0.8707609673493503,0.37015552687960346,0.7421039613434978,~,0.2
0.9999999999999999,0.06203630846589692,3.3091442617812485,3.3091442617812485,0.9325694660720568,0.8747162990089339,0.3615308906260772,0.7161390563604126,~,0.2
1.0999999999999999,0.0577259537991176,3.3091442617812485,3.3091442617812485,0.9359852107407921,0.8819545717089118,0.34196474754415657,0.6692262395236435,~,0.2
1.2,0.05305714293253094,3.3091442617812485,3.3091442617812485,0.9398143129614198,0.8899504506285874,0.32019988527803367,0.6182903177007367,~,0.2
0.2,0.02417449942897587,2.8955012290585924,2.8955012290585924,0.9824837489892477,0.9587326961603291,0.04457135048995066,0.10760899259236732,✓,0.4
0.1,0.006647041884457083,2.8955012290585924,2.8955012290585924,0.9954292187836211,0.988812559073354,0.01147942297184184,0.02828503952541375,✓,0.4
0.3,0.04706040624118146,2.8955012290585924,2.8955012290585924,0.9632634715408966,0.9179319012528913,0.0953439259986091,0.2235135815497133,✓,0.4
0.5,0.08908885314251536,2.8955012290585924,2.8955012290585924,0.9179557135864329,0.8361760918273983,0.2234429319390091,0.48980086184531213,~,0.4
0.4,0.06987002422561306,2.8955012290585924,2.8955012290585924,0.9406988756282666,0.8749722223991127,0.15759858417000838,0.35723356239261506,~,0.4
0.6,0.021824216615393577,3.3091442617812485,2.8955012290585924,0.8979100856273368,0.8052675091337973,0.2842431441822394,0.6045583879190369,✓,0.4
0.7,0.11186752764709051,3.3091442617812485,3.3091442617812485,0.882756242911717,0.7840044845021487,0.33203887831356943,0.68875727042241,✗,0.4
0.9999999999999999,0.11025896564796944,3.3091442617812485,3.3091442617812485,0.8736582254588287,0.7773295731898977,0.3615308906260772,0.7161390563604126,✗,0.4
1.0999999999999999,0.10326226884599965,3.3091442617812485,3.3091442617812485,0.879673121265962,0.7888360789211966,0.34196474754415657,0.6692262395236435,✗,0.4
0.7999999999999999,0.11551791138479639,3.3091442617812485,3.3091442617812485,0.8737446228667736,0.7728114689495073,0.3612479374092744,0.7349416389980372,✗,0.4
0.8999999999999999,0.11472440085165014,3.3091442617812485,3.3091442617812485,0.8710329376185297,0.7711042057281912,0.37015552687960346,0.7421039613434978,✗,0.4
1.2,0.0955941884982986,3.3091442617812485,3.3091442617812485,0.8864619891130638,0.8017213746292129,0.32019988527803367,0.6182903177007367,~,0.4
0.1,0.009915100525977771,2.8955012290585924,2.8955012290585924,0.993159461477925,0.9833121855790454,0.01147942297184184,0.02828503952541375,✓,0.6
0.3,0.06780816574083237,2.8955012290585924,2.8955012290585924,0.9458891300679476,0.8817501231638485,0.0953439259986091,0.2235135815497133,~,0.6
0.6,0.016031925959986815,3.3091442617812485,2.8955012290585924,0.8543022631791699,0.7338183696510361,0.2842431441822394,0.6045583879190369,✓,0.6
0.4,0.09863874481371948,2.8955012290585924,2.8955012290585924,0.9136098305343876,0.8234925036010007,0.15759858417000838,0.35723356239261506,~,0.6
0.5,0.12351585469506099,2.8955012290585924,2.8955012290585924,0.8817830817303706,0.772868890734799,0.2234429319390091,0.48980086184531213,✗,0.6
