lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status,alpha
0.2,0.013191699856135553,0.8272860654453121,0.8272860654453121,0.9909412862428655,0.9778690862196967,0.04570762104120446,0.11315887828021191,✓,0.2
0.1,0.0036774990675525476,0.8272860654453121,0.8272860654453121,0.9975770013981274,0.993908412905674,0.012144418919425115,0.030644609781083014,✓,0.2
0.5,0.04610192302201721,0.8272860654453121,0.8272860654453121,0.9619601794507344,0.9176119653074508,0.19772034935472022,0.4489263316490468,✓,0.2
0.3,0.025224761696328923,0.8272860654453121,0.8272860654453121,0.9816570106439958,0.9568949464829704,0.0934287085871806,0.2252339908129968,✓,0.2
0.4,0.03677563776054538,0.8272860654453121,0.8272860654453121,0.9715109806629546,0.9357830447577016,0.14662221994446528,0.3431188222635831,✓,0.2
0.6,0.05250425267156522,0.8272860654453121,0.8272860654453121,0.9539631031939312,0.9038759833844866,0.24129285845508175,0.5317323304441905,~,0.2
0.7,0.055824520814226064,0.8272860654453121,0.8272860654453121,0.9480775307401066,0.8951515568918055,0.273830291175452,0.5856463204524556,~,0.2
0.8999999999999999,0.5535817290441578,0.8272860654453121,1.2409290981679681,0.9436428918927907,0.8930808741449457,0.29861459558163056,0.5985971088980094,✗,0.2
0.9999999999999999,0.5486384778816479,0.8272860654453121,1.2409290981679681,0.9449689367697076,0.8990070860397898,0.29117921811488967,0.5616914233963008,✗,0.2
1.2,0.46376681020165444,0.8272860654453121,0.41364303272265607,0.9509585294396441,0.9165022685521019,0.25785283501928236,0.45552386673198597,✗,0.2
0.7999999999999999,0.5561209412768581,0.8272860654453121,1.2409290981679681,0.9446065239632525,0.8915943167021738,0.2932092603189682,0.6079316639141262,✗,0.2
1.0999999999999999,0.45774958321390513,0.8272860654453121,0.41364303272265607,0.9478635253576961,0.9078158963549963,0.2750209985273415,0.5077246609975405,✗,0.2
0.1,0.00731046579600847,0.8272860654453121,0.8272860654453121,0.9951657162590003,0.9878905913289286,0.012144418919425115,0.030644609781083014,✓,0.4
0.3,0.048364757914419076,0.8272860654453121,0.8272860654453121,0.9639748305870812,0.9173524212701439,0.0934287085871806,0.2252339908129968,✓,0.4
0.2,0.02581215317585228,0.8272860654453121,0.8272860654453121,0.9820452197010315,0.956696518064495,0.04570762104120446,0.11315887828021191,✓,0.4
0.6,0.09579983993723995,0.8272860654453121,0.8272860654453121,0.9119784456042876,0.824611056489184,0.24129285845508175,0.5317323304441905,~,0.4
0.5,0.08518557401664606,0.8272860654453121,0.8272860654453121,0.9267083597445473,0.8477661761736835,0.19772034935472022,0.4489263316490468,~,0.4
0.4,0.0691130461310352,0.8272860654453121,0.8272860654453121,0.9446002459891907,0.8793160456127526,0.14662221994446528,0.3431188222635831,~,0.4
0.7,0.10105371675626162,0.8272860654453121,0.8272860654453121,0.901280805806107,0.8102030305383214,0.273830291175452,0.5856463204524556,✗,0.4
0.7999999999999999,0.6012642611320472,0.8272860654453121,1.2409290981679681,0.8950278217660336,0.8043934907022705,0.2932092603189682,0.6079316639141262,✗,0.4
0.8999999999999999,0.5968123646843089,0.8272860654453121,1.2409290981679681,0.8932991359177951,0.8068167341991435,0.29861459558163056,0.5985971088980094,✗,0.4
0.9999999999999999,0.5883538436350111,0.8272860654453121,1.2409290981679681,0.8956787811312429,0.8165421181559758,0.29117921811488967,0.5616914233963008,✗,0.4
1.2,0.4331181067634974,0.8272860654453121,0.41364303272265607,0.9065023224789007,0.8458737309282253,0.25785283501928236,0.45552386673198597,✗,0.4
1.0999999999999999,0.4226313280973597,0.8272860654453121,0.41364303272265607,0.9008940838021439,0.831193105013426,0.2750209985273415,0.5077246609975405,✗,0.4
0.1,0.010899704207690597,0.8272860654453121,0.8272860654453121,0.9927660598481305,0.9819452034483515,0.012144418919425115,0.030644609781083014,✓,0.6
0.2,0.037897679034054166,0.8272860654453121,0.8272860654453121,0.9733074589070202,0.9364213652279111,0.04570762104120446,0.11315887828021191,✓,0.6
0.3,0.06966818352999748,0.8272860654453121,0.8272860654453121,0.9469183830031336,0.8809482993081428,0.0934287085871806,0.2252339908129968,~,0.6
0.4,0.09776993783734966,0.8272860654453121,0.8272860654453121,0.9191401761588643,0.8292758982720015,0.14662221994446528,0.3431188222635831,~,0.6
0.6,0.1321140850095025,0.8272860654453121,0.8272860654453121,0.8735335549428468,0.7581274686064746,0.24129285845508175,0.5317323304441905,✗,0.6
0.5,0.11874022200599033,0.8272860654453121,0.8272860654453121,0.8939488702422652,0.7878011829276944,0.19772034935472022,0.4489263316490468,✗,0.6
0.7999999999999999,0.6383639473237446,0.8272860654453121,1.2409290981679681,0.8503939681682119,0.7327301019521553,0.2932092603189682,0.6079316639141262,✗,0.6
0.8999999999999999,0.6324271886357253,0.8272860654453121,1.2409290981679681,0.8480550334866506,0.7357494895936375,0.29861459558163056,0.5985971088980094,✗,0.6
0.7,0.13844258371738982,0.8272860654453121,0.8272860654453121,0.8588865135455002,0.7399800454902402,0.273830291175452,0.5856463204524556,✗,0.6
0.9999999999999999,0.6213953028858872,0.8272860654453121,1.2409290981679681,0.8512757207407172,0.747934846781996,0.29117921811488967,0.5616914233963008,✗,0.6
1.0999999999999999,0.3929798608421714,0.8272860654453121,0.41364303272265607,0.8583598158152475,0.7664980288792116,0.2750209985273415,0.5077246609975405,✗,0.6
1.2,0.40685519108591217,0.8272860654453121,0.41364303272265607,0.8660170318911323,0.7853520409392873,0.25785283501928236,0.45552386673198597,✗,0.6
0.3,0.08934533982177195,0.8272860654453121,0.8272860654453121,0.9304550304828343,0.8473232095954683,0.0934287085871806,0.2252339908129968,~,0.8
