scenario_id,N,topology,lambda,source_mode,source_site,shell_count,bg_power,bg_residual,covbg_power,covbg_residual,harmbg_power,harmbg_residual,delta_lambda_edge_l2,harmonic_residual_l2
N4_cycle_alpha0.8,4,cycle,0.4,center,2,3,-6.803100539407295e-15,2.0000000000000067,-0.35130193809789356,2.3513019380978935,2.5366879682133803,0.5366879682133803,0.0,0.08062558213787965
N4_cycle_alpha0.8,4,cycle,0.4,hub,0,3,-6.803100539407295e-15,2.0000000000000067,-0.35130193809789356,2.3513019380978935,2.5366879682133803,0.5366879682133803,0.0,0.08062558213787965
N4_cycle_alpha0.8,4,cycle,0.4,lambda_max,2,3,-6.803100539407295e-15,2.0000000000000067,-0.35130193809789356,2.3513019380978935,2.5366879682133803,0.5366879682133803,0.0,0.08062558213787965
N4_cycle_alpha0.8,4,cycle,0.4,probe_out,0,3,-6.803100539407295e-15,2.0000000000000067,-0.35130193809789356,2.3513019380978935,2.5366879682133803,0.5366879682133803,0.0,0.08062558213787965
N4_cycle_alpha0.8,4,cycle,1.0,center,2,3,-6.803100539407295e-15,2.0000000000000067,-0.3329378697092058,2.332937869709206,2.536687968213367,0.536687968213367,6.131407058289218e-16,0.2730613947671021
N4_cycle_alpha0.8,4,cycle,1.0,hub,0,3,-6.803100539407295e-15,2.0000000000000067,-0.3329378697092058,2.332937869709206,2.536687968213367,0.536687968213367,6.131407058289218e-16,0.2730613947671021
N4_cycle_alpha0.8,4,cycle,1.0,lambda_max,1,3,-6.803100539407295e-15,2.0000000000000067,-0.3329378697092058,2.332937869709206,2.536687968213367,0.536687968213367,1.1102230246251565e-16,0.2730613947671021
N4_cycle_alpha0.8,4,cycle,1.0,probe_out,0,3,-6.803100539407295e-15,2.0000000000000067,-0.3329378697092058,2.332937869709206,2.536687968213367,0.536687968213367,6.131407058289218e-16,0.2730613947671021
N4_star_alpha0.8,4,star,0.4,center,2,3,6.335548858600769e-15,1.9999999999999936,-0.3516194083091431,2.3516194083091433,6.335548858600769e-15,1.9999999999999936,1.0794385653450953e-16,3.002339006427168e-32
N4_star_alpha0.8,4,star,0.4,hub,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091431,2.3516194083091433,-0.35161940830914196,2.351619408309142,2.1103821920200813e-16,0.07766964378663076
N4_star_alpha0.8,4,star,0.4,lambda_max,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091431,2.3516194083091433,-0.35161940830914196,2.351619408309142,2.1103821920200813e-16,0.07766964378663076
N4_star_alpha0.8,4,star,0.4,probe_out,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091431,2.3516194083091433,-0.35161940830914196,2.351619408309142,2.1103821920200813e-16,0.07766964378663076
N4_star_alpha0.8,4,star,1.0,center,2,3,6.335548858600769e-15,1.9999999999999936,-0.3516194083091439,2.3516194083091437,6.335548858600769e-15,1.9999999999999936,1.7772239894833365e-16,8.373502435315116e-32
N4_star_alpha0.8,4,star,1.0,hub,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091449,2.351619408309145,-0.3516194083091435,2.3516194083091433,2.0396099332657776e-16,0.23744573374341202
N4_star_alpha0.8,4,star,1.0,lambda_max,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091449,2.351619408309145,-0.3516194083091435,2.3516194083091433,2.0396099332657776e-16,0.23744573374341202
N4_star_alpha0.8,4,star,1.0,probe_out,0,2,6.335548858600769e-15,1.9999999999999936,-0.3516194083091449,2.351619408309145,-0.3516194083091435,2.3516194083091433,2.0396099332657776e-16,0.23744573374341202
N5_cycle_alpha0.8,5,cycle,0.6,center,2,3,2.6635628595747783e-14,1.9999999999999734,-0.39029450205608607,2.390294502056086,0.3383739294023186,1.6616260705976815,4.337102305247694e-11,0.2076407297422143
N5_cycle_alpha0.8,5,cycle,0.6,hub,0,3,-0.46110540864388544,2.4611054086438853,-0.39029450217021144,2.3902945021702116,0.3383739294023186,1.6616260705976815,2.806686939871424e-10,0.2076407297422143
N5_cycle_alpha0.8,5,cycle,0.6,lambda_max,2,3,2.6635628595747783e-14,1.9999999999999734,-0.39029450205608607,2.390294502056086,0.3383739294023186,1.6616260705976815,4.337102305247694e-11,0.2076407297422143
N5_cycle_alpha0.8,5,cycle,0.6,probe_out,0,3,-0.46110540864388544,2.4611054086438853,-0.39029450217021144,2.3902945021702116,0.3383739294023186,1.6616260705976815,2.806686939871424e-10,0.2076407297422143
N5_cycle_alpha0.8,5,cycle,0.8,center,2,3,2.6635628595747783e-14,1.9999999999999734,-0.38692607700663917,2.386926077006639,0.3383739294023191,1.6616260705976809,7.81213227671188e-11,0.29329228710447125
N5_cycle_alpha0.8,5,cycle,0.8,hub,0,3,2.6635628595747783e-14,1.9999999999999734,-0.38692607703594956,2.3869260770359495,0.3383739294023191,1.6616260705976809,7.501838401917804e-11,0.29329228710447125
N5_cycle_alpha0.8,5,cycle,0.8,lambda_max,4,3,2.6635628595747783e-14,1.9999999999999734,-0.38692607706580284,2.386926077065803,0.3383739294023191,1.6616260705976809,6.509657959124352e-11,0.29329228710447125
N5_cycle_alpha0.8,5,cycle,0.8,probe_out,0,3,2.6635628595747783e-14,1.9999999999999734,-0.38692607703594956,2.3869260770359495,0.3383739294023191,1.6616260705976809,7.501838401917804e-11,0.29329228710447125
N5_star_alpha0.8,5,star,0.6,center,2,3,-6.803100539407295e-15,2.0000000000000067,-0.5291926163089399,2.52919261630894,-0.5073657286512948,2.507365728651295,6.881685032653685e-11,0.23735761038033348
N5_star_alpha0.8,5,star,0.6,hub,0,2,-6.803100539407295e-15,2.0000000000000067,-0.5291926162452063,2.529192616245206,-0.54855315960924,2.54855315960924,7.602459965243024e-11,0.33567435173186244
