run_tag,scenario_id,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_hotspot1.5,N4_cycle_alpha0.8,0.4,-3.68532851543187,3.68532851543187,1.6853285154318698,1.8908960785877336,1.8834074023524403
N4_hotspot3.0,N4_cycle_alpha0.8,1.2,-3.5799020941503277,3.5799020941503277,1.5799020941503277,1.8757208507864016,1.9112351904196196
N4_hotspot1.5,N4_path_alpha0.8,0.3,-3.615066646246523,3.615066646246523,1.6150666462465235,1.878434025138776,1.8439464098095972
N4_hotspot3.0,N4_path_alpha0.8,0.1,-3.772440650882064,3.772440650882064,1.7724406508820638,1.9313641656774825,1.9157412937615277
N4_hotspot1.5,N4_star_alpha0.8,1.4,-2.2578429731749576,2.2578429731749576,0.2578429731749576,0.5675722800663168,0.686519873705445
N4_hotspot3.0,N4_star_alpha0.8,0.1,-2.259539774371239,2.259539774371239,0.2595397743712389,0.7018355366241108,0.687726250900786
N5_hotspot1.5_dense_topologies_chi3,N5_cycle_alpha0.8,0.6,-3.7545739642457936,3.7545739642457936,1.7545739642457936,1.9028372767608304,1.9021404318004445
N5_hotspot1.5_dense_topologies_chi3,N5_path_alpha0.8,1.0,-3.1184230657586904,3.1184230657586904,1.1184230657586904,1.1255303922229098,1.1236636894738892
N5_hotspot1.5_sparse_path,N5_path_alpha0.8,1.0,-3.1184077749234027,3.1184077749234027,1.1184077749234027,1.1271211151162284,1.1261780118920537
N5_hotspot1.5_dense_topologies_chi3,N5_star_alpha0.8,0.8,-2.4070590827994596,2.4070590827994596,0.4070590827994595,0.6270856178934447,0.6342847614714882
