scenario_id,N,topology,alpha,lambda,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N4_cycle_alpha0.8,4,cycle,0.8,0.1,4.076624733486345,-4.076624733486345,2.0766247334863452,False,128,bond_correlator,0.06797494030715076,0.06797494030715076,4
N4_cycle_alpha0.8,4,cycle,0.8,0.2,3.791446524142847,-3.791446524142847,1.791446524142847,False,128,bond_correlator,0.23689001876110824,0.23689001876110768,4
N4_cycle_alpha0.8,4,cycle,0.8,0.3,3.822776298442726,-3.822776298442726,1.8227762984427258,False,128,bond_correlator,0.43717553954254224,0.4371755395425415,4
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4.0256289288699705,-4.0256289288699705,2.0256289288699705,False,128,bond_correlator,0.6147922611829606,0.6147922611829599,4
N4_cycle_alpha0.8,4,cycle,0.8,0.6,3.9951170474343916,-3.9951170474343916,1.9951170474343916,False,128,bond_correlator,0.8156422948232979,0.8156422948232974,4
N4_cycle_alpha0.8,4,cycle,0.8,0.8,4.014074409360819,-4.014074409360819,2.014074409360819,False,128,bond_correlator,0.8000694234171667,0.8000694234171669,4
N4_cycle_alpha0.8,4,cycle,0.8,1.0,3.6646824307705694,-3.6646824307705694,1.6646824307705694,False,128,bond_correlator,0.6430814300781365,0.6430814300781361,4
N4_cycle_alpha0.8,4,cycle,0.8,1.2,3.5799020941503277,-3.5799020941503277,1.5799020941503277,False,128,bond_correlator,0.5638889221248059,0.5638889221248065,4
N4_cycle_alpha0.8,4,cycle,0.8,1.4,3.9112351904196196,-3.9112351904196196,1.9112351904196196,False,128,bond_correlator,0.7633901155665956,0.7633901155665953,4
N4_path_alpha0.8,4,path,0.8,0.1,3.772440650882064,-3.772440650882064,1.7724406508820638,False,128,bond_correlator,0.01757423617163073,0.051628784001666934,3
N4_path_alpha0.8,4,path,0.8,0.2,3.820408891040245,-3.820408891040245,1.8204088910402452,False,128,bond_correlator,0.06478226058472138,0.18384285272255624,3
N4_path_alpha0.8,4,path,0.8,0.3,4.043830280597876,-4.043830280597876,2.0438302805978763,False,128,bond_correlator,0.12821061112120383,0.3479603823710664,3
N4_path_alpha0.8,4,path,0.8,0.4,3.8373574557810652,-3.8373574557810652,1.8373574557810652,False,128,bond_correlator,0.19294957063669388,0.5005691454876707,3
N4_path_alpha0.8,4,path,0.8,0.6,4.014944189680941,-4.014944189680941,2.014944189680941,False,128,bond_correlator,0.2844641168232485,0.6851939196224641,3
N4_path_alpha0.8,4,path,0.8,0.8,4.0534630707387524,-4.0534630707387524,2.0534630707387524,False,128,bond_correlator,0.3004553049325324,0.6895640935460526,3
N4_path_alpha0.8,4,path,0.8,1.0,3.9157412937615277,-3.9157412937615277,1.9157412937615277,False,128,bond_correlator,0.266248115800988,0.5917305311319784,3
N4_path_alpha0.8,4,path,0.8,1.2,4.017935681469458,-4.017935681469458,2.0179356814694582,False,128,bond_correlator,0.2615750812138153,0.5586943565385855,3
N4_path_alpha0.8,4,path,0.8,1.4,3.9061559771454113,-3.9061559771454113,1.9061559771454113,False,128,bond_correlator,0.35673803367174967,0.7166009603042558,3
N4_star_alpha0.8,4,star,0.8,0.1,2.259539774371239,-2.259539774371239,0.2595397743712389,False,128,bond_correlator,0.1004252320490234,0.034257705326727436,3
N4_star_alpha0.8,4,star,0.8,0.2,2.754532104616714,-2.754532104616714,0.7545321046167142,False,128,bond_correlator,0.33763836082725956,0.12153989011280751,3
N4_star_alpha0.8,4,star,0.8,0.3,2.687726250900786,-2.687726250900786,0.687726250900786,False,128,bond_correlator,0.5980800660132568,0.22802884582282631,3
N4_star_alpha0.8,4,star,0.8,0.4,3.225079711820326,-3.225079711820326,1.2250797118203258,False,128,bond_correlator,0.8093109308869382,0.3228412290394133,3
N4_star_alpha0.8,4,star,0.8,0.6,2.538579649218701,-2.538579649218701,0.5385796492187009,False,128,bond_correlator,1.0044161783248087,0.41724727821479923,3
N4_star_alpha0.8,4,star,0.8,0.8,3.4357611552427922,-3.4357611552427922,1.4357611552427922,False,128,bond_correlator,0.9583482442735303,0.3943619311187234,3
N4_star_alpha0.8,4,star,0.8,1.0,2.3647602976390134,-2.3647602976390134,0.3647602976390134,False,128,bond_correlator,0.894828075746213,0.36340969921342764,3
N4_star_alpha0.8,4,star,0.8,1.2,2.722264430416354,-2.722264430416354,0.7222644304163541,False,128,bond_correlator,0.999686671798834,0.41488084368443945,3
N4_star_alpha0.8,4,star,0.8,1.4,2.3282764553910713,-2.3282764553910713,0.3282764553910713,False,128,bond_correlator,1.1997640542226085,0.5183743312516654,3
