scenario_id,N,topology,alpha,lambda,bond_cutoff,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N4_path_alpha0.8,4,path,0.8,0.2,5,3.804950448927546,-3.804950448927546,1.804950448927546,False,128,bond_correlator,0.011908636067509783,0.04537737353700074,3
N4_path_alpha0.8,4,path,0.8,0.4,5,4.080105555394894,-4.080105555394894,2.080105555394894,False,128,bond_correlator,0.044954521443799925,0.1607967372335871,3
N4_path_alpha0.8,4,path,0.8,0.6,5,3.9079165128692765,-3.9079165128692765,1.9079165128692765,False,128,bond_correlator,0.092697876875798,0.3041326875907602,3
N4_path_alpha0.8,4,path,0.8,0.8,5,3.9110494316979985,-3.9110494316979985,1.9110494316979985,False,128,bond_correlator,0.1478517702710461,0.44157846897401193,3
N4_path_alpha0.8,4,path,0.8,1.0,5,3.8953814388385943,-3.8953814388385943,1.8953814388385943,False,128,bond_correlator,0.20394242855446468,0.5561607636811425,3
N4_star_alpha0.8,4,star,0.8,0.2,5,2.4958323937724614,-2.4958323937724614,0.49583239377246136,False,128,bond_correlator,0.09684520799948608,0.03300936717433709,3
N4_star_alpha0.8,4,star,0.8,0.4,5,2.8500096765728173,-2.8500096765728173,0.8500096765728173,False,128,bond_correlator,0.3116433239323521,0.11153020827816931,3
N4_star_alpha0.8,4,star,0.8,0.6,5,2.975053698247174,-2.975053698247174,0.9750536982471738,False,128,bond_correlator,0.5359436002810231,0.2015879245144178,3
N4_star_alpha0.8,4,star,0.8,0.8,5,2.3807011167478866,-2.3807011167478866,0.38070111674788665,False,128,bond_correlator,0.7224607033394057,0.2829315578308372,3
N4_star_alpha0.8,4,star,0.8,1.0,5,2.3763294311450114,-2.3763294311450114,0.3763294311450114,False,128,bond_correlator,0.8605188664230417,0.34698192253647686,3
