scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,edge_shell,mean_occ,delta_lambda_edge
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,0,0,1,2,0.15891819537664764,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,1,1,2,1,0.15891819540477853,1.064343058132522e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,2,2,3,0,0.15891819539721208,-5.62161428518948e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,3,3,4,0,0.1589181954420913,5.621642040765096e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,4,4,0,1,0.1589181953808827,-1.0643153025569063e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,0,0,1,2,0.23468502508493366,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,1,1,2,1,0.23468502494762514,5.7427229638307153e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,2,2,3,0,0.23468502500062743,9.842737735965557e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,3,3,4,0,0.2346850251524878,-9.842793247116788e-12
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,4,4,0,1,0.23468502474637834,-5.7427285149458385e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,0,1,1,0.06707067167073544,1.2684405609197924e-10
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,2,0,0.16431540818641963,4.991365654127833e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,2,3,0,0.16431540824660923,-4.991362878570271e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,3,4,1,0.06707067143946488,-1.2684402833640362e-10
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,0,1,1,0.10991639003046769,-2.4613533433637258e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,2,0,0.24557869789741715,-4.522382468508113e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,2,3,0,0.24557869785178588,4.522354712932497e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,3,4,1,0.10991639009281362,2.4613491800273835e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.28745815161355526,-2.7583407780085167e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,0,2,0,0.2874581517364479,4.357261773613175e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,0,3,0,0.28745815177301764,6.505013194768594e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,0,4,0,0.287458151518305,-8.10393141481569e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.3256449446433076,-1.8686691083402707e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,0,2,0,0.325644944731305,2.7738311647595992e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,0,3,0,0.32564494471822836,1.8540224910879033e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,0,4,0,0.3256449446237186,-2.7591928741799165e-11
