scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,0,2,0.3938808839800684,0.3938808839934403,-1.3371914686644004e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,1,2,0.3938808840068122,0.3938808839934403,1.3371914686644004e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,2,1,0.39388088402792776,0.393880884039171,-1.124322857037896e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,3,0,0.3938808840668151,0.3938808840668151,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,3,4,1,0.39388088405041427,0.393880884039171,1.1243284081530192e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,0,2,0.5453283844842347,0.5453283845794037,-9.51689838046832e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,1,2,0.5453283846745727,0.5453283845794037,9.51689838046832e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,2,1,0.5453283845954798,0.5453283845757944,1.9685475471931113e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,3,0,0.5453283848048396,0.5453283848048396,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,4,1,0.5453283845561088,0.5453283845757944,-1.9685586494233576e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,2,0.09289885296862634,0.09289885281476554,1.5386079910140182e-10
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,0.2972472697547816,0.2972472696549543,9.982731308255666e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,0,0.40552749964203744,0.40552749964203744,0.0
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,1,0.29724726955512704,0.2972472696549543,-9.982725757140543e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,4,2,0.09289885266090474,0.09289885281476554,-1.5386079910140182e-10
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,2,0.1484263279328198,0.1484263279730021,-4.018230193025829e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,0.43153115343511583,0.4315311534441606,-9.044764937016225e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,0,0.5661904030907315,0.5661904030907315,0.0
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,1,0.4315311534532053,0.4315311534441606,9.044709425864994e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,4,2,0.14842632801318437,0.1484263279730021,4.0182274174682675e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1.0950187228422619,1.0950187228422619,0.0
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,1,0.3606897349016107,0.36068973495677753,-5.5166815560170335e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,1,0.36068973504392277,0.36068973495677753,8.71452354722635e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,1,0.3606897350868778,0.36068973495677753,1.3010026389537188e-10
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,4,1,0.3606897347946989,0.36068973495677753,-1.620786282963138e-10
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1.1845785382650285,1.1845785382650285,0.0
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,1,0.39861574360899826,0.39861574364637165,-3.7373382166805413e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,1,0.39861574370184827,0.39861574364637165,5.5476623295191985e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,1,0.3986157436834521,0.39861574364637165,3.7080449821758066e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,4,1,0.3986157435911878,0.39861574364637165,-5.518385748359833e-11
