scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,edge_shell,mean_occ,delta_lambda_edge
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,0,0,1,1,0.08310801789207725,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,1,1,2,0,0.08310801789207747,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,2,2,3,0,0.08310801789207758,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,3,3,0,1,0.08310801789207756,0.0
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,0,0,1,0,0.031772792507184615,-0.028960548922593577
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,1,1,2,0,0.08673587055712279,0.028960548922593574
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,2,2,3,1,0.03177279250718455,0.028960548922593574
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.08082072034635189,1.5265566588595902e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,1,0,2,0,0.08082072034635156,-1.457167719820518e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,2,0,3,0,0.08082072034635164,0.0
