scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,covbg_power,covbg_residual,covbg_r2,harmbg_power,harmbg_residual,harmbg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,covariance_l2,covariance_bg_l2,covariance_delta_l2,covariance_delta_maxabs,harmonic_rank,harmonic_residual_l2,harmonic_residual_maxabs,shell_count,lambda_shell_json
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,4096,2,-0.012993541134530252,2.0129935411345303,0.9937545895344049,-6.803100539407295e-15,2.0000000000000067,0.0,-0.35130193809789356,2.3513019380978935,0.9991071753354591,2.5366879682133803,0.5366879682133803,0.058373399402487314,0.0,0.0,0.1543241508221177,0.10671221340288732,0.11148294505270469,0.039404711276620666,3,0.08062558213787965,0.020156395534469924,3,"{""0"": 0.22069358266630063, ""1"": 0.22069358266630035, ""2"": 0.22069358266630035}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,4096,1,-0.0006863124658309853,2.000686312465831,0.001878824404331625,-6.803100539407295e-15,2.0000000000000067,0.0,-0.3329378697092058,2.332937869709206,0.9875211522909776,2.536687968213367,0.536687968213367,0.05837339940248798,1.1102230246251565e-16,5.551115123125783e-17,0.4863090834087988,0.3271391014317192,0.3598284770836702,0.12684969366133544,3,0.2730613947671021,0.06826534869177557,3,"{""0"": 0.7098001235001056, ""1"": 0.7098001235001052, ""2"": 0.7098001235001044}"
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,sparse,10000,2,-0.012993542401852638,2.0129935424018526,0.9937545904139831,-6.803100539407295e-15,2.0000000000000067,0.0,-0.3513019374939904,2.3513019374939903,0.9991071752128731,2.5366879682133843,0.5366879682133843,0.05837339940248709,6.656142303995694e-11,3.328071151997847e-11,0.15432419551376392,0.10671224409552758,0.11148297753947446,0.03940472280530312,3,0.08062560577356633,0.02015640144339159,3,"{""0"": 0.22069361962980893, ""1"": 0.22069361954435757, ""2"": 0.22069361945890592}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,sparse,10000,1,-0.000685461759356954,2.000685461759357,0.001874127320415031,-6.803100539407295e-15,2.0000000000000067,0.0,-0.332937897659306,2.332937897659306,0.9875211829631687,2.5366879682134766,0.5366879682134766,0.05837339940248176,1.994854281769328e-11,9.974299164383638e-12,0.48635394245044367,0.3271694938304029,0.35986147285288467,0.12686132638637648,3,0.2730864160439247,0.0682716040109812,3,"{""0"": 0.709816236850249, ""1"": 0.7098162368038605, ""2"": 0.7098162367574709}"
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,1,-0.010283733217715972,2.010283733217716,0.9754371693624524,-0.6599423002179456,2.6599423002179456,0.9899230540102243,-1.799389637799852,3.7993896377998517,0.9994109433429804,2.6256790368321088e-14,1.9999999999999738,0.0,0.05016114214901618,0.028960548922593577,0.09140059763207421,0.06298382713653301,0.06623523810431768,0.05277062090549099,3,3.305458089615891e-32,2.475699485281656e-32,3,"{""0"": 0.16079671226058456, ""1"": 0.10287561441539711, ""2"": 0.044954516570209956}"
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,1,-0.032586802782766995,2.032586802782767,0.9731257909336806,-0.6599423002179474,2.6599423002179474,0.9899230540102241,-1.8686007880092343,3.8686007880092346,0.9996256673021134,2.6256790368321088e-14,1.9999999999999738,0.0,0.15251134005891157,0.08805246323748316,0.3113723557754115,0.2274167745401139,0.21268369612854768,0.15199985593898596,3,1.2125869753291365e-31,7.436988081670533e-32,3,"{""0"": 0.5561481202214275, ""1"": 0.38004319374646084, ""2"": 0.20393826727149397}"
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,1,-0.01028373348046486,2.010283733480465,0.9754371692793873,-0.6599423002179465,2.6599423002179465,0.9899230540102241,-1.799389639296527,3.799389639296527,0.9994109433486534,2.6256790368321088e-14,1.9999999999999738,0.0,0.05016115085231712,0.02896055394744672,0.09140062679120796,0.06298384988143205,0.06623525671376924,0.052770633976938305,3,3.305459267387338e-32,2.475700167638001e-32,3,"{""0"": 0.1607967372335871, ""1"": 0.10287562933869335, ""2"": 0.044954521443799925}"
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,1,-0.03258644265135251,2.0325864426513527,0.9731255262772749,-0.6599423002179456,2.6599423002179456,0.9899230540102243,-1.8686005004503061,3.868600500450306,0.999625666585806,2.6256790368321088e-14,1.9999999999999738,0.0,0.15251501294918196,0.08805458378166947,0.3114018010103027,0.2274382012384094,0.21270389345260451,0.1520144652828988,3,1.2127007464742887e-31,7.437700488403234e-32,3,"{""0"": 0.5561607636811425, ""1"": 0.3800515961178036, ""2"": 0.20394242855446496}"
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,0,-0.01513520984684497,2.015135209846845,0.9919695099345274,6.335548858600769e-15,1.9999999999999936,0.0,-0.3516194083091431,2.3516194083091433,0.9954483496344336,-0.35161940830914196,2.351619408309142,0.9954483496344336,2.1103821920200813e-16,1.5265566588595902e-16,0.13036609627739523,0.07021518302135865,0.1098414636277403,0.051779762524420625,2,0.07766964378663076,0.03883482189331539,2,"{""0"": 0.3116432738357014, ""1"": 0.11153018909468537}"
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,0,-0.03839994047571396,2.038399940475714,0.9922415695407857,6.335548858600769e-15,1.9999999999999936,0.0,-0.3516194083091449,2.351619408309145,0.9954483496344335,-0.3516194083091435,2.3516194083091433,0.9954483496344335,2.0396099332657776e-16,1.6653345369377348e-16,0.38297933694552555,0.18415270723326285,0.335798976987564,0.15829715582894147,2,0.23744573374341202,0.11872286687170605,2,"{""0"": 0.8605030138105911, ""1"": 0.3469743791152215}"
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,0,-0.015135210480604571,2.0151352104806044,0.9919695099420138,6.335548858600769e-15,1.9999999999999936,0.0,-0.3516194083091435,2.3516194083091433,0.9954483496344337,-0.35161940830914273,2.351619408309143,0.995448349634433,1.2470719426290902e-16,1.0408340855860843e-16,0.1303661353761134,0.07021520387057893,0.10984149670464334,0.051779778117022245,2,0.07766966717553304,0.038834833587766536,2,"{""0"": 0.3116433239323521, ""1"": 0.11153020827816922}"
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,dense,2000,0,-0.0383990973330629,2.038399097333063,0.992241559766011,6.335548858600769e-15,1.9999999999999936,0.0,-0.3516194083091435,2.3516194083091433,0.9954483496344336,-0.3516194083091455,2.3516194083091455,0.9954483496344333,3.713442931002523e-16,3.0531133177191805e-16,0.3830192763432804,0.18417269522738153,0.3358335664927082,0.1583134614780385,2,0.23747019221705734,0.11873509610852871,2,"{""0"": 0.8605188664230417, ""1"": 0.34698192253647625}"
