scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,edge_shell,mean_occ,delta_lambda_edge
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,0,0,1,0,0.15891819557980782,1.003086502748829e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,1,1,2,0,0.1589181954195201,-1.0030837271912674e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,2,2,3,1,0.15891819548676786,2.3556989692252728e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,3,3,4,2,0.1589181954415646,-2.7755575615628914e-17
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,4,4,0,1,0.15891819536773075,-2.3556989692252728e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.23468502510576728,5.7483851012563036e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,1,2,1,0.23468502506607025,1.60360946743765e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,2,3,2,0.23468502481501027,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,3,4,1,0.23468502464892882,-1.60360946743765e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,4,4,0,0,0.23468502529217455,-5.7483851012563036e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,0,1,1,0.06707067141635946,3.365740325333988e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,2,0,0.16431540852528226,4.175554346730337e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,2,3,0,0.16431540835517108,-4.1755571222878984e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,3,4,1,0.06707067144147501,-3.3657431008915495e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,0,1,1,0.10991639009532586,1.1311993008966681e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,2,0,0.24557869798385115,3.687328220536301e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,2,3,0,0.24557869799333132,-3.687355976111917e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,3,4,1,0.10991639007176394,-1.1312034642330104e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.2874581515546779,-8.401909723509959e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,0,2,0,0.2874581516143268,-5.206840514304645e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,0,3,0,0.2874581517706743,3.666089654075222e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,0,4,0,0.28745815188330315,9.942652257066698e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1,0,0.3256449446649646,-1.833780349791425e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,0,2,0,0.32564494476642086,3.95642962836007e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,0,3,0,0.3256449447215403,1.5831586042125423e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,0,4,0,0.32564494461554716,-3.70581343389631e-11
