scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,0,1,0.39388088418578937,0.39388088416572764,2.006173005497658e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,1,0,0.3938808842435244,0.3938808842435244,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,2,1,0.39388088414566597,0.39388088416572764,-2.0061674543825347e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,3,2,0.3938808841723676,0.39388088410519195,6.71756539283308e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,1,4,2,0.39388088403801624,0.39388088410519195,-6.717570943948203e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,0.5453283850281837,0.5453283850281837,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,1,0.5453283848147494,0.5453283846997817,1.1496770202512607e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,2,0.5453283845391841,0.5453283843334299,2.0575419146240392e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,2,0.5453283841276757,0.5453283843334299,-2.0575419146240392e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,0,4,1,0.545328384584814,0.5453283846997817,-1.1496770202512607e-10
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,2,0.0928988526301059,0.09289885264630218,-1.619628042792698e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,0.297247269849371,0.2972472697658599,8.351108693460674e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,0,0.40552750011909405,0.40552750011909405,0.0
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,1,0.29724726968234877,0.2972472697658599,-8.351114244575797e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,4,2,0.09289885266249846,0.09289885264630218,1.619628042792698e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,2,0.14842632801625408,0.14842632800100475,1.524932957686076e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,0.4315311535968738,0.4315311535894991,7.374656441072602e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,0,0.5661904033135794,0.5661904033135794,0.0
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,1,0.4315311535821244,0.4315311535894991,-7.374711952223834e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,4,2,0.1484263279857554,0.14842632800100475,-1.5249357332436375e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1.0950187229564898,1.0950187229564898,0.0
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,1,0.3606897348362484,0.3606897350042866,-1.6803819447019919e-10
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,1,0.36068973490014977,0.3606897350042866,-1.041368102860929e-10
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,1,0.3606897350776084,0.3606897350042866,7.332179308150444e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,4,1,0.3606897352031396,0.3606897350042866,1.9885304514133395e-10
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1.184578538286587,1.184578538286587,0.0
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,1,0.39861574361898905,0.39861574365566466,-3.66756069958285e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,1,0.39861574373479325,0.39861574365566466,7.91285925672014e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,1,0.39861574368732783,0.39861574365566466,3.1663172084250846e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,4,1,0.3986157435815484,0.39861574365566466,-7.41162686779262e-11
