scenario_id,N,topology,lambda,bond_cutoff,backend,effective_backend,source_site,raw_power,bg_power,covbg_power,harmbg_power,raw_residual,bg_residual,covbg_residual,harmbg_residual,harmonic_residual_l2,harmonic_residual_maxabs
N4_cycle_alpha0.8,4,cycle,0.4,4,auto,dense,2,-0.0129935411345302,-6.803100539407295e-15,-0.3513019380978935,2.5366879682133803,2.0129935411345303,2.0000000000000067,2.3513019380978935,0.5366879682133803,0.0806255821378796,0.0201563955344699
N4_cycle_alpha0.8,4,cycle,1.0,4,auto,dense,1,-0.0006863124658309,-6.803100539407295e-15,-0.3329378697092058,2.536687968213367,2.000686312465831,2.0000000000000067,2.332937869709206,0.536687968213367,0.2730613947671021,0.0682653486917755
N4_cycle_alpha0.8,4,cycle,0.4,5,auto,sparse,2,-0.0129935424018526,-6.803100539407295e-15,-0.3513019374939904,2.5366879682133843,2.012993542401853,2.0000000000000067,2.3513019374939903,0.5366879682133843,0.0806256057735663,0.0201564014433915
N4_cycle_alpha0.8,4,cycle,1.0,5,auto,sparse,1,-0.0006854617593569,-6.803100539407295e-15,-0.332937897659306,2.5366879682134766,2.000685461759357,2.0000000000000067,2.332937897659306,0.5366879682134766,0.2730864160439247,0.0682716040109812
N4_path_alpha0.8,4,path,0.4,4,auto,dense,1,-0.0102837332177159,-0.6599423002179456,-1.799389637799852,2.6256790368321088e-14,2.010283733217716,2.6599423002179456,3.799389637799852,1.9999999999999736,3.305458089615891e-32,2.475699485281656e-32
N4_path_alpha0.8,4,path,1.0,4,auto,dense,1,-0.0325868027827669,-0.6599423002179474,-1.8686007880092343,2.6256790368321088e-14,2.032586802782767,2.6599423002179474,3.8686007880092346,1.9999999999999736,1.2125869753291363e-31,7.436988081670533e-32
N4_path_alpha0.8,4,path,0.4,5,auto,dense,1,-0.0102837334804648,-0.6599423002179465,-1.799389639296527,2.6256790368321088e-14,2.010283733480465,2.6599423002179465,3.799389639296527,1.9999999999999736,3.3054592673873376e-32,2.4757001676380007e-32
N4_path_alpha0.8,4,path,1.0,5,auto,dense,1,-0.0325864426513525,-0.6599423002179456,-1.868600500450306,2.6256790368321088e-14,2.0325864426513527,2.6599423002179456,3.868600500450306,1.9999999999999736,1.2127007464742887e-31,7.437700488403234e-32
N4_star_alpha0.8,4,star,0.4,4,auto,dense,0,-0.0151352098468449,6.3355488586007686e-15,-0.3516194083091431,-0.3516194083091419,2.015135209846845,1.9999999999999936,2.3516194083091433,2.351619408309142,0.0776696437866307,0.0388348218933153
N4_star_alpha0.8,4,star,1.0,4,auto,dense,0,-0.0383999404757139,6.3355488586007686e-15,-0.3516194083091449,-0.3516194083091435,2.038399940475714,1.9999999999999936,2.351619408309145,2.3516194083091433,0.237445733743412,0.118722866871706
N4_star_alpha0.8,4,star,0.4,5,auto,dense,0,-0.0151352104806045,6.3355488586007686e-15,-0.3516194083091435,-0.3516194083091427,2.0151352104806044,1.9999999999999936,2.3516194083091433,2.351619408309143,0.077669667175533,0.0388348335877665
N4_star_alpha0.8,4,star,1.0,5,auto,dense,0,-0.0383990973330629,6.3355488586007686e-15,-0.3516194083091435,-0.3516194083091455,2.038399097333063,1.9999999999999936,2.3516194083091433,2.3516194083091455,0.2374701922170573,0.1187350961085287
N5_cycle_alpha0.8,5,cycle,0.6,4,auto,sparse,1,-0.0160530954505583,2.6635628595747783e-14,-0.3902945021548491,0.3383739294023191,2.0160530954505584,1.9999999999999736,2.390294502154849,1.6616260705976809,0.2076407298175995,0.0587296672804066
N5_cycle_alpha0.8,5,cycle,0.8,4,auto,sparse,0,-0.026257931851906,-0.4034776875253454,-0.3869260770622632,0.3383739294023176,2.026257931851906,2.4034776875253456,2.386926077062263,1.6616260705976824,0.2932922871475353,0.0829555860582673
N5_path_alpha0.8,5,path,0.6,4,auto,sparse,2,-0.0227860060921291,-4.072231950963148e-15,-1.0116541254127378,-5.8151207201982436,2.022786006092129,2.000000000000004,3.011654125412738,7.8151207201982436,0.1371097520168729,0.0585152468587024
N5_path_alpha0.8,5,path,0.8,4,auto,sparse,2,-0.0305544525486873,-4.072231950963148e-15,-0.9766116729379792,-5.815120720198148,2.0305544525486874,2.000000000000004,2.9766116729379792,7.815120720198148,0.1958046406079134,0.083564857442391
N5_star_alpha0.8,5,star,0.6,4,auto,sparse,0,-0.1443318586462963,-6.803100539407295e-15,-0.5291926158470517,-0.5485531594169151,2.1443318586462965,2.0000000000000067,2.5291926158470517,2.5485531594169153,0.3356743519164094,0.1775965873532459
N5_star_alpha0.8,5,star,0.8,4,auto,sparse,0,-0.1319306606056342,-6.803100539407295e-15,-0.5291926161920016,-0.5485531595213613,2.1319306606056343,2.0000000000000067,2.5291926161920015,2.5485531595213615,0.3688028356763864,0.1951240082280587
