scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,0,2,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,1,1,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,2,0,0.22069358266630063,0.22069358266630063,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,3,1,0.22069358266630035,0.22069358266630035,0.0
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,0,1,0.044954516570209956,0.10287561441539711,-0.057921097845187154
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,1,0,0.16079671226058456,0.16079671226058456,0.0
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,2,1,0.16079671226058426,0.10287561441539711,0.05792109784518715
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,3,2,0.044954516570209956,0.044954516570209956,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,0,0,0.3116432738357014,0.3116432738357014,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,1,1,0.11153018909468568,0.11153018909468537,3.0531133177191805e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,2,1,0.11153018909468508,0.11153018909468537,-2.914335439641036e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,3,1,0.11153018909468537,0.11153018909468537,0.0
