scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,mean_occ,delta_lambda_edge
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,0,0,1,0.08310801789207725,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,0,0,1,0.08310801789207725,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,0,0,1,0.08310803069563,2.1295770702423056e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,0,0,1,0.08310803063736444,6.938893903907228e-17
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,1,1,2,0.08310801789207747,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,1,1,2,0.08310801789207747,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,1,1,2,0.08310803084658025,2.1295770702423056e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,1,1,2,0.08310803063736458,6.938893903907228e-17
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,2,2,3,0.08310801789207758,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,2,2,3,0.08310801789207758,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,2,2,3,0.08310803088881998,-2.1295770702423056e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,2,2,3,0.08310803063736424,-6.938893903907228e-17
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,3,3,0,0.08310801789207756,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,3,3,0,0.08310801789207756,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,3,3,0,0.08310803058699076,-2.1295770702423056e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,3,3,0,0.08310803063736472,-6.938893903907228e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,0,1,0.32861546015888454,-5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,dense,1,0,0,1,0.32861546015888454,-5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,auto,2,0,0,1,0.3286305276555375,9.793832411730818e-12
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,dense,3,0,0,1,0.32863052738192244,1.6653345369377348e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,1,2,0.32861546015888476,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,dense,1,1,1,2,0.32861546015888476,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,auto,2,1,1,2,0.328630526922721,9.793832411730818e-12
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,dense,3,1,1,2,0.3286305273819221,-1.6653345369377348e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,2,3,0.3286154601588841,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,dense,1,2,2,3,0.3286154601588841,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,auto,2,2,2,3,0.32863052768038903,-9.793832411730818e-12
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,dense,3,2,2,3,0.32863052738192194,-1.6653345369377348e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,3,3,0,0.3286154601588845,-5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,dense,1,3,3,0,0.3286154601588845,-5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,auto,2,3,3,0,0.32863052684816285,-9.793832411730818e-12
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,dense,3,3,3,0,0.328630527381922,1.6653345369377348e-16
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,0,0,1,0.031772792507184615,-0.028960548922593577
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,dense,1,0,0,1,0.031772792507184615,-0.028960548922593577
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,auto,1,0,0,1,0.031772799558597506,-0.02896055394744671
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,dense,1,0,0,1,0.031772799558597506,-0.02896055394744671
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,1,1,2,0.08673587055712279,0.028960548922593574
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,dense,1,1,1,2,0.08673587055712279,0.028960548922593574
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,auto,1,1,1,2,0.08673588340448954,0.02896055394744672
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,dense,1,1,1,2,0.08673588340448954,0.02896055394744672
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,auto,1,2,2,3,0.03177279250718455,0.028960548922593574
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,6.5,0.2,dense,1,2,2,3,0.03177279250718455,0.028960548922593574
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,auto,1,2,2,3,0.03177279955859742,0.02896055394744672
N4_path_alpha0.8,4,path,0.8,0.4,5,1.5,6.5,0.2,dense,1,2,2,3,0.03177279955859742,0.02896055394744672
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,0,1,0.1550729064662374,-0.08805246323748316
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,0,0,1,0.1550729064662374,-0.08805246323748316
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,0,0,1,0.15508018304963295,-0.08805458378166946
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,0,0,1,0.15508018304963295,-0.08805458378166946
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,1,2,0.32920157809861184,0.08805246323748314
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,1,1,2,0.32920157809861184,0.08805246323748314
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,1,1,2,0.32921693494821264,0.08805458378166947
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,1,1,2,0.32921693494821264,0.08805458378166947
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,2,3,0.15507290646623717,0.08805246323748314
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,2,2,3,0.15507290646623717,0.08805246323748314
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,2,2,3,0.155080183049633,0.08805458378166947
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,2,2,3,0.155080183049633,0.08805458378166947
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,0,0,1,0.08082072034635189,1.5265566588595902e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,0,0,1,0.08082072034635189,1.5265566588595902e-16
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,0,0,1,0.0808207329633677,4.85722573273506e-17
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,0,0,1,0.0808207329633677,4.85722573273506e-17
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,1,0,2,0.08082072034635156,-1.457167719820518e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,1,0,2,0.08082072034635156,-1.457167719820518e-16
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,1,0,2,0.08082073296336784,4.85722573273506e-17
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,1,0,2,0.08082073296336784,4.85722573273506e-17
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,2,0,3,0.08082072034635164,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,2,0,3,0.08082072034635164,0.0
