scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,frustration_time,deltaB,kappa,k0,backend,effective_backend,total_dim,source_site,raw_power,raw_residual,raw_r2,bg_power,bg_residual,bg_r2,delta_lambda_edge_l2,delta_lambda_edge_maxabs,shell_count,lambda_shell_json
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,4096,2,-0.012993541134530252,2.0129935411345303,0.9937545895344049,-6.803100539407295e-15,2.0000000000000067,0.0,0.0,0.0,3,"{""0"": 0.22069358266630063, ""1"": 0.22069358266630035, ""2"": 0.22069358266630035}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,4096,1,-0.0006863124658309853,2.000686312465831,0.001878824404331625,-6.803100539407295e-15,2.0000000000000067,0.0,1.1102230246251565e-16,5.551115123125783e-17,3,"{""0"": 0.7098001235001056, ""1"": 0.7098001235001052, ""2"": 0.7098001235001044}"
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,1.0,6.5,0.2,4,dense,dense,4096,2,-0.012993541134530252,2.0129935411345303,0.9937545895344049,-6.803100539407295e-15,2.0000000000000067,0.0,0.0,0.0,3,"{""0"": 0.22069358266630063, ""1"": 0.22069358266630035, ""2"": 0.22069358266630035}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,1.0,6.5,0.2,4,dense,dense,4096,1,-0.0006863124658309853,2.000686312465831,0.001878824404331625,-6.803100539407295e-15,2.0000000000000067,0.0,1.1102230246251565e-16,5.551115123125783e-17,3,"{""0"": 0.7098001235001056, ""1"": 0.7098001235001052, ""2"": 0.7098001235001044}"
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,1.0,6.5,0.2,4,auto,sparse,10000,2,-0.012993542484584931,2.012993542484585,0.9937545902863283,-6.803100539407295e-15,2.0000000000000067,0.0,4.259154140484611e-11,2.1295770702423056e-11,3,"{""0"": 0.22069362020247052, ""1"": 0.2206936199232178, ""2"": 0.2206936196439648}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,1.0,6.5,0.2,4,auto,sparse,10000,2,-0.0006854618263759982,2.000685461826376,0.0018741277079256102,-6.803100539407295e-15,2.0000000000000067,0.0,1.9587664823461637e-11,9.793832411730818e-12,3,"{""0"": 0.7098162364301545, ""1"": 0.709816236389918, ""2"": 0.7098162363496817}"
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,1.0,6.5,0.2,4,dense,dense,10000,0,-0.012993542372784054,2.0129935423727843,0.993754590145961,-6.803100539407295e-15,2.0000000000000067,0.0,1.3877787807814457e-16,6.938893903907228e-17,3,"{""0"": 0.2206936196337277, ""1"": 0.22069361963372755, ""2"": 0.22069361963372713}"
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,1.0,6.5,0.2,4,dense,dense,10000,3,-0.0006854617608974311,2.0006854617608973,0.0018741273321015717,-6.803100539407295e-15,2.0000000000000067,0.0,3.3306690738754696e-16,1.6653345369377348e-16,3,"{""0"": 0.709816236574528, ""1"": 0.7098162365745271, ""2"": 0.7098162365745277}"
N4_path_alpha0.8,4,path,0.8,0.4,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,1,-0.010283733217715972,2.010283733217716,0.9754371693624524,-0.6599423002179456,2.6599423002179456,0.9899230540102243,0.05016114214901618,0.028960548922593577,3,"{""0"": 0.16079671226058456, ""1"": 0.10287561441539711, ""2"": 0.044954516570209956}"
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,1.0,6.5,0.2,4,auto,dense,1024,1,-0.032586802782766995,2.032586802782767,0.9731257909336806,-0.6599423002179474,2.6599423002179474,0.9899230540102241,0.15251134005891157,0.08805246323748316,3,"{""0"": 0.5561481202214275, ""1"": 0.38004319374646084, ""2"": 0.20393826727149397}"
