scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,0,2,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,0,2,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,0,2,0.2206936196439648,0.2206936196439648,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,0,0,0.2206936196337277,0.2206936196337277,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,1,1,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,1,1,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,1,1,0.22069361996580933,0.2206936199232178,4.259154140484611e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,1,1,0.2206936196337277,0.22069361963372755,1.3877787807814457e-16
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,2,0,0.22069358266630063,0.22069358266630063,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,2,0,0.22069358266630063,0.22069358266630063,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,2,0,0.22069362020247052,0.22069362020247052,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,2,2,0.22069361963372713,0.22069361963372713,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,auto,2,3,1,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,4,1.5,6.5,0.2,dense,2,3,1,0.22069358266630035,0.22069358266630035,0.0
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,auto,2,3,1,0.22069361988062625,0.2206936199232178,-4.259154140484611e-11
N4_cycle_alpha0.8,4,cycle,0.8,0.4,5,1.5,6.5,0.2,dense,0,3,1,0.2206936196337274,0.22069361963372755,-1.3877787807814457e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,1,0.7098001235001051,0.7098001235001052,-1.1102230246251565e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,dense,1,0,1,0.7098001235001051,0.7098001235001052,-1.1102230246251565e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,5,1.5,6.5,0.2,auto,2,0,2,0.7098162363496817,0.7098162363496817,0.0
