scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,mean_occ,delta_lambda_edge
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,0,1,0.15891819522902073,-1.235098689988945e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,2,0.158918195512333,-5.070768804849024e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,2,3,0.15891819543198787,5.0707660292914625e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,3,4,0.15891819549859024,1.2350984124331887e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,4,4,0,0.15891819538809235,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,0,0,1,0.2346850250039207,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,1,1,2,0.2346850249080427,-2.367933626956642e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,2,2,3,0.23468502494972315,-1.695271700796752e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,3,3,4,0.23468502499262894,1.695271700796752e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,4,4,0,0.2346850249359976,2.367933626956642e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,0,1,0.06707067147431701,4.929855135227257e-12
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,2,0.16431540843231668,4.7839510131097995e-12
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,2,3,0.16431540841635034,-4.783978768685415e-12
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,3,4,0.0670706714735614,-4.9298828908028725e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,0,1,0.1099163900561593,-1.3025316936143838e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,2,0.24557869799206702,-8.112122085179863e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,2,3,0.24557869801114085,8.112094329604247e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,3,4,0.10991639006902224,1.3025289180568222e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1,0.28745815160093474,-2.64971378172163e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,0,2,0.2874581516595361,6.754846681999993e-12
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,0,3,0.28745815167729816,1.6688400661379887e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,0,4,0.28745815165292926,3.0538072071095712e-12
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1,0.3256449447781763,4.115266460935629e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,0,2,0.3256449446857121,-5.797085034231486e-12
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,0,3,0.32564494463581106,-3.402750303749258e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,0,4,0.32564494469555905,-1.3281875599346904e-12
