scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,2,0.3938808838280072,0.39388088397361154,-1.456043619008085e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,0.3938808839631553,0.39388088406457067,-1.0141537609698048e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,0,0.39388088418330014,0.39388088418330014,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,1,0.393880884165986,0.39388088406457067,1.0141532058582925e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.6,4,1.5,6.5,0.2,auto,2,4,2,0.3938808841192159,0.39388088397361154,1.456043619008085e-10
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,0,2,0.5453283845916016,0.5453283845781484,1.3453238523197797e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,1,2,0.5453283845646951,0.5453283845781484,-1.3453238523197797e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,2,1,0.5453283845119494,0.5453283845458549,-3.390543401593504e-11
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,3,0,0.5453283845931945,0.5453283845931945,0.0
N5_cycle_alpha0.8,5,cycle,0.8,0.8,4,1.5,6.5,0.2,auto,3,4,1,0.5453283845797603,0.5453283845458549,3.390543401593504e-11
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,0,2,0.09289885270814946,0.09289885270785765,2.918082442349146e-13
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,1,1,0.29724726981097727,0.29724726980140936,9.567902026219599e-12
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,2,0,0.4055275000859268,0.4055275000859268,0.0
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,3,1,0.2972472697918414,0.29724726980140936,-9.56795753737083e-12
N5_path_alpha0.8,5,path,0.8,0.6,4,1.5,6.5,0.2,auto,2,4,2,0.09289885270756584,0.09289885270785765,-2.918082442349146e-13
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,0,2,0.1484263279582666,0.148426327968093,-9.826389701927951e-12
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,1,1,0.43153115357044214,0.4315311535866664,-1.6224244170359725e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,2,0,0.5661904033576928,0.5661904033576928,0.0
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,3,1,0.43153115360289057,0.4315311535866664,1.6224188659208494e-11
N5_path_alpha0.8,5,path,0.8,0.8,4,1.5,6.5,0.2,auto,2,4,2,0.14842632797791938,0.148426327968093,9.826389701927951e-12
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,0,0,1.0950187228089188,1.0950187228089188,0.0
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,1,1,0.36068973488991757,0.36068973494291184,-5.29942756344326e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,2,1,0.36068973495642154,0.36068973494291184,1.3509693363999986e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,3,1,0.36068973497628865,0.36068973494291184,3.3376801322759775e-11
N5_star_alpha0.8,5,star,0.8,0.6,4,1.5,6.5,0.2,auto,0,4,1,0.36068973494901946,0.36068973494291184,6.1076144142191424e-12
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,0,0,1.184578538308779,1.184578538308779,0.0
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,1,1,0.398615743747538,0.39861574366523267,8.230532921871259e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,2,1,0.3986157436536385,0.39861574366523267,-1.1594170068462972e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,3,1,0.39861574359717766,0.39861574366523267,-6.805500607498516e-11
N5_star_alpha0.8,5,star,0.8,0.8,4,1.5,6.5,0.2,auto,0,4,1,0.3986157436625763,0.39861574366523267,-2.6563751198693808e-12
