scenario_id,N,topology,lambda,bond_cutoff,backend,effective_backend,source_site,raw_power,raw_residual,bg_power,bg_residual,delta_lambda_edge_l2,delta_lambda_edge_maxabs
N4_cycle_alpha0.8,4,cycle,0.4,4,auto,dense,2,-0.0129935411345302,2.0129935411345303,-6.803100539407295e-15,2.0000000000000067,0.0,0.0
N4_cycle_alpha0.8,4,cycle,0.4,4,dense,dense,2,-0.0129935411345302,2.0129935411345303,-6.803100539407295e-15,2.0000000000000067,0.0,0.0
N4_cycle_alpha0.8,4,cycle,1.0,4,auto,dense,1,-0.0006863124658309,2.000686312465831,-6.803100539407295e-15,2.0000000000000067,1.1102230246251563e-16,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,1.0,4,dense,dense,1,-0.0006863124658309,2.000686312465831,-6.803100539407295e-15,2.0000000000000067,1.1102230246251563e-16,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.4,5,auto,sparse,2,-0.0129935424845849,2.012993542484585,-6.803100539407295e-15,2.0000000000000067,4.2591541404846105e-11,2.1295770702423056e-11
N4_cycle_alpha0.8,4,cycle,0.4,5,dense,dense,0,-0.012993542372784,2.0129935423727843,-6.803100539407295e-15,2.0000000000000067,1.3877787807814454e-16,6.938893903907227e-17
N4_cycle_alpha0.8,4,cycle,1.0,5,auto,sparse,2,-0.0006854618263759,2.000685461826376,-6.803100539407295e-15,2.0000000000000067,1.9587664823461637e-11,9.793832411730818e-12
N4_cycle_alpha0.8,4,cycle,1.0,5,dense,dense,3,-0.0006854617608974,2.0006854617608973,-6.803100539407295e-15,2.0000000000000067,3.3306690738754696e-16,1.6653345369377348e-16
N4_path_alpha0.8,4,path,0.4,4,auto,dense,1,-0.0102837332177159,2.010283733217716,-0.6599423002179456,2.6599423002179456,0.0501611421490161,0.0289605489225935
N4_path_alpha0.8,4,path,0.4,4,dense,dense,1,-0.0102837332177159,2.010283733217716,-0.6599423002179456,2.6599423002179456,0.0501611421490161,0.0289605489225935
N4_path_alpha0.8,4,path,1.0,4,auto,dense,1,-0.0325868027827669,2.032586802782767,-0.6599423002179474,2.6599423002179474,0.1525113400589115,0.0880524632374831
N4_path_alpha0.8,4,path,1.0,4,dense,dense,1,-0.0325868027827669,2.032586802782767,-0.6599423002179474,2.6599423002179474,0.1525113400589115,0.0880524632374831
