scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,edge,u,v,mean_occ,delta_lambda_edge
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,0,1,0.32861546015888454,-5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,1,2,0.32861546015888476,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,2,3,0.3286154601588841,5.551115123125783e-17
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,3,3,0,0.3286154601588845,-5.551115123125783e-17
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,0,1,0.1550729064662374,-0.08805246323748316
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,1,2,0.32920157809861184,0.08805246323748314
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,2,3,0.15507290646623717,0.08805246323748314
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,0,0,1,0.28069041371502784,1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,1,0,2,0.2806904137150275,-8.326672684688674e-17
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,2,0,3,0.28069041371502745,-8.326672684688674e-17
