scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,1,0.7098001235001051,0.7098001235001052,-1.1102230246251565e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,0,0.7098001235001056,0.7098001235001056,0.0
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,1,0.7098001235001054,0.7098001235001052,1.1102230246251565e-16
N4_cycle_alpha0.8,4,cycle,0.8,1.0,4,1.5,6.5,0.2,auto,1,3,2,0.7098001235001044,0.7098001235001044,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,0,1,0.20393826727149453,0.38004319374646084,-0.1761049264749663
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,1,0,0.5561481202214275,0.5561481202214275,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,2,1,0.5561481202214271,0.38004319374646084,0.17610492647496628
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,3,2,0.20393826727149397,0.20393826727149397,0.0
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,0,0,0.8605030138105911,0.8605030138105911,0.0
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,1,1,0.34697437911522183,0.3469743791152215,3.3306690738754696e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,2,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,3,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
